<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20151211,000000,587.0000000,587.0000000,570.0000000,570.0000000,97170
20151214,000000,571.0000000,574.0000000,560.0000000,574.0000000,250360
20151215,000000,574.0000000,574.0000000,569.0000000,569.0000000,200100
20151216,000000,573.9000000,573.9000000,573.9000000,573.9000000,180000
20151217,000000,560.0000000,572.0000000,560.0000000,571.9000000,154770
20151218,000000,559.9000000,578.0000000,555.5000000,573.4000000,481710
20151221,000000,559.5000000,574.2000000,559.5000000,574.2000000,399480
20151222,000000,572.0000000,572.0000000,572.0000000,572.0000000,10
20151223,000000,574.0000000,574.2000000,573.0000000,574.2000000,4510
20151224,000000,575.5000000,575.8000000,574.0000000,574.5000000,791580
20151225,000000,574.7000000,576.0000000,572.0000000,572.0000000,1170790
20151228,000000,574.9000000,576.0000000,574.9000000,575.1000000,348960
20151229,000000,574.5000000,574.8000000,574.5000000,574.8000000,4210
20151230,000000,574.6000000,574.8000000,574.0000000,574.8000000,4340
20160105,000000,571.0000000,571.0000000,571.0000000,571.0000000,10
20160111,000000,575.0000000,575.2000000,575.0000000,575.2000000,4290
20160112,000000,574.0000000,574.4000000,574.0000000,574.4000000,4410
20160113,000000,574.8000000,575.0000000,574.8000000,575.0000000,3600
20160114,000000,575.1000000,575.3000000,575.1000000,575.3000000,4050
20160115,000000,570.5000000,575.0000000,562.0000000,574.5000000,3180
20160118,000000,574.5000000,574.5000000,573.5000000,573.5000000,1350
20160119,000000,574.5000000,575.1000000,574.2000000,574.2000000,3225480
20160120,000000,574.0000000,575.0000000,574.0000000,574.2000000,2154140
20160121,000000,574.8000000,575.1000000,574.0000000,574.0000000,124350
20160122,000000,575.1000000,575.3000000,575.1000000,575.3000000,5220
20160125,000000,575.0000000,575.4000000,575.0000000,575.4000000,5110
20160126,000000,574.5000000,583.0000000,574.5000000,583.0000000,5110
20160127,000000,583.5000000,583.5000000,581.0000000,582.0000000,451990
20160128,000000,581.0000000,584.3000000,581.0000000,584.3000000,74760
20160129,000000,582.0000000,584.5000000,582.0000000,584.5000000,455600
20160201,000000,582.0000000,589.0000000,582.0000000,589.0000000,7510
20160202,000000,584.0000000,586.0000000,584.0000000,585.0000000,11760
20160203,000000,582.0000000,584.0000000,582.0000000,584.0000000,9750
20160204,000000,581.0000000,583.0000000,581.0000000,583.0000000,9300
20160205,000000,581.0000000,590.0000000,581.0000000,590.0000000,11420
20160208,000000,581.0000000,584.0000000,581.0000000,584.0000000,11250
20160209,000000,581.0000000,584.0000000,580.0000000,584.0000000,12640
20160210,000000,582.0000000,585.0000000,580.0000000,585.0000000,7700
20160211,000000,584.0000000,586.0000000,583.0000000,586.0000000,9130
20160212,000000,584.0000000,589.0000000,583.0000000,589.0000000,9160
20160215,000000,583.0000000,588.0000000,583.0000000,588.0000000,52370
20160216,000000,585.0000000,588.0000000,584.0000000,585.0000000,190510
20160217,000000,584.0000000,587.0000000,584.0000000,586.0000000,9590
20160219,000000,577.0000000,588.0000000,577.0000000,588.0000000,11380
20160220,000000,587.0000000,587.0000000,587.0000000,587.0000000,50
20160224,000000,584.0000000,588.0000000,584.0000000,585.0000000,12030
20160225,000000,584.0000000,584.0000000,584.0000000,584.0000000,10
20160226,000000,577.0000000,577.0000000,576.0000000,576.0000000,30
20160229,000000,585.0000000,585.0000000,585.0000000,585.0000000,180
20160302,000000,575.0000000,589.0000000,575.0000000,585.0000000,560
20160303,000000,587.0000000,589.0000000,587.0000000,589.0000000,13040
20160304,000000,589.0000000,591.0000000,589.0000000,590.0000000,25600
20160309,000000,590.0000000,600.0000000,581.0000000,598.0000000,45050
20160310,000000,593.0000000,598.0000000,593.0000000,598.0000000,31470
20160311,000000,598.0000000,598.0000000,597.0000000,598.0000000,220
20160315,000000,592.0000000,598.0000000,591.0000000,593.0000000,208080
20160316,000000,596.0000000,597.0000000,591.0000000,594.0000000,448470
20160317,000000,598.0000000,598.0000000,586.0000000,586.0000000,208760
20160318,000000,595.0000000,600.0000000,590.0000000,600.0000000,936300
20160321,000000,593.0000000,595.0000000,593.0000000,595.0000000,9000
20160322,000000,595.0000000,596.0000000,595.0000000,596.0000000,11980
20160323,000000,595.0000000,596.0000000,595.0000000,596.0000000,12000
20160324,000000,594.0000000,597.0000000,594.0000000,597.0000000,13510
20160325,000000,601.0000000,602.0000000,594.0000000,595.0000000,174690
20160328,000000,594.0000000,596.0000000,594.0000000,596.0000000,15000
20160329,000000,594.0000000,595.0000000,594.0000000,595.0000000,15300
20160330,000000,594.0000000,604.0000000,594.0000000,604.0000000,17510
20160331,000000,597.0000000,597.0000000,596.0000000,596.0000000,16500
20160401,000000,598.0000000,599.0000000,598.0000000,599.0000000,21020
20160404,000000,591.0000000,597.0000000,400.0000000,597.0000000,12480
20160405,000000,598.0000000,598.0000000,590.0000000,590.0000000,11340
20160406,000000,597.0000000,599.0000000,597.0000000,598.0000000,14170
20160407,000000,598.0000000,599.0000000,598.0000000,599.0000000,14020
20160408,000000,598.0000000,600.0000000,598.0000000,599.0000000,25500
20160411,000000,598.0000000,600.0000000,598.0000000,600.0000000,22520
20160412,000000,599.0000000,601.0000000,599.0000000,600.0000000,21440
20160413,000000,598.0000000,601.0000000,598.0000000,601.0000000,21270
20160414,000000,600.0000000,601.0000000,600.0000000,601.0000000,15000
20160415,000000,600.0000000,606.0000000,600.0000000,605.0000000,21220
20160418,000000,600.0000000,602.0000000,600.0000000,601.0000000,23480
20160419,000000,601.0000000,601.0000000,601.0000000,601.0000000,10500
