<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160104,110000,43.9000000,44.1500000,43.3000000,43.6500000,820
20160104,120000,44.0500000,44.1500000,43.8000000,43.8000000,5150
20160104,130000,43.7500000,43.7500000,43.7000000,43.7000000,340
20160104,140000,43.8000000,43.8000000,43.8000000,43.8000000,110
20160104,150000,43.8000000,43.8000000,43.7000000,43.7000000,40
20160104,160000,43.8000000,43.8500000,43.8000000,43.8500000,170
20160104,170000,43.7000000,43.8500000,43.7000000,43.8500000,110
20160104,180000,43.8000000,43.8500000,43.8000000,43.8500000,150
20160104,190000,43.7000000,43.7500000,43.2500000,43.7500000,3780
20160105,110000,43.4000000,43.7500000,43.4000000,43.7500000,120
20160105,120000,43.5500000,43.7500000,43.5000000,43.7500000,70
20160105,130000,43.6500000,43.6500000,43.5000000,43.5000000,600
20160105,140000,43.6000000,43.8000000,43.5500000,43.8000000,1120
20160105,150000,43.6000000,43.8000000,43.6000000,43.8000000,190
20160105,160000,43.7000000,43.7000000,43.6500000,43.6500000,600
20160105,170000,43.8000000,44.0000000,43.8000000,44.0000000,2860
20160105,180000,43.9500000,43.9500000,43.5500000,43.5500000,4490
20160105,190000,43.5500000,43.7500000,43.4500000,43.4500000,3490
20160106,110000,43.4500000,44.0000000,42.9500000,44.0000000,49020
20160106,120000,43.6500000,43.6500000,43.6000000,43.6000000,1000
20160106,130000,43.9000000,43.9000000,43.8500000,43.8500000,120
20160106,140000,43.6000000,43.6000000,43.3000000,43.3000000,2400
20160106,160000,43.8000000,43.8000000,43.8000000,43.8000000,20
20160106,170000,43.6000000,43.6000000,43.5500000,43.5500000,120
20160106,180000,43.5500000,43.7500000,43.3000000,43.3000000,2100
20160106,190000,43.3500000,43.6500000,43.3000000,43.6500000,1040
20160111,110000,42.7500000,43.5000000,42.7000000,43.5000000,19150
20160111,120000,43.5000000,43.5000000,43.2000000,43.3000000,11680
20160111,130000,43.3000000,43.4000000,43.2500000,43.3500000,2160
20160111,140000,43.3500000,43.4500000,43.2500000,43.4500000,9070
20160111,150000,43.3000000,43.4000000,43.2000000,43.2000000,15840
20160111,160000,43.2000000,43.3500000,43.2000000,43.3500000,950
20160111,170000,43.3000000,43.3000000,43.2000000,43.2000000,2300
20160111,180000,43.3500000,43.4000000,43.2000000,43.2000000,21590
20160111,190000,43.2000000,43.2500000,43.0000000,43.0000000,32150
20160112,110000,43.2000000,43.2000000,43.0000000,43.1000000,10020
20160112,120000,43.2000000,43.3500000,43.1500000,43.3000000,3860
20160112,130000,43.3000000,43.3500000,43.3000000,43.3500000,850
20160112,140000,43.3000000,43.4000000,43.2500000,43.4000000,4470
20160112,150000,43.4000000,43.4000000,43.1500000,43.1500000,4320
20160112,160000,43.3000000,43.3000000,43.2000000,43.2000000,50
20160112,170000,43.2000000,43.2500000,43.2000000,43.2500000,320
20160112,180000,43.2500000,43.3500000,43.0000000,43.0000000,7360
20160112,190000,43.1500000,43.5500000,43.1000000,43.5500000,4800
20160113,110000,43.5500000,43.9000000,43.0000000,43.4000000,5830
20160113,120000,43.4000000,43.6000000,43.3500000,43.6000000,4920
20160113,130000,43.6500000,43.6500000,43.6000000,43.6500000,2170
20160113,140000,43.5500000,43.5500000,43.4000000,43.5000000,6020
20160113,150000,43.4000000,43.4500000,43.1500000,43.2000000,6670
20160113,160000,43.2500000,43.3500000,43.1500000,43.3500000,2550
20160113,170000,43.3000000,43.3000000,43.2000000,43.2500000,680
20160113,180000,43.2000000,43.2500000,43.2000000,43.2000000,690
20160113,190000,43.2000000,43.2000000,43.1500000,43.1500000,4830
20160114,110000,43.1500000,43.4500000,43.0000000,43.0000000,10120
20160114,120000,43.2500000,43.5000000,43.0000000,43.1000000,18630
20160114,130000,43.1000000,43.2000000,43.0000000,43.2000000,4290
20160114,140000,43.0000000,43.0500000,42.9500000,43.0000000,50570
20160114,150000,43.0000000,43.3500000,42.9500000,43.0000000,93180
20160114,160000,43.1000000,43.1000000,42.9000000,43.0000000,11120
20160114,170000,43.0000000,43.1000000,42.9500000,43.0000000,120300
20160114,180000,43.0000000,43.0500000,42.8000000,43.0000000,376150
20160114,190000,43.0000000,43.4000000,42.5000000,43.4000000,18930
20160115,110000,43.9500000,43.9500000,43.2500000,43.5000000,12930
20160115,120000,43.6000000,43.6500000,43.2000000,43.5000000,12900
20160115,130000,43.2500000,43.2500000,42.8500000,43.0000000,4060
20160115,140000,42.9500000,43.0000000,42.7500000,42.7500000,3580
20160115,150000,42.7500000,42.7500000,42.6000000,42.6000000,5390
20160115,160000,42.7500000,42.7500000,42.1000000,42.1000000,28070
20160115,170000,42.1000000,42.2000000,42.0500000,42.2000000,5370
20160115,180000,42.2000000,42.2000000,42.0000000,42.1000000,10610
20160115,190000,42.1000000,42.2000000,42.1000000,42.2000000,1170
20160118,110000,42.0000000,42.2000000,41.2000000,42.2000000,25550
20160118,120000,42.0500000,42.0500000,41.9000000,42.0000000,1100
20160118,130000,42.0000000,42.0000000,41.5000000,41.8000000,2660
20160118,140000,41.8000000,41.8000000,41.5000000,41.6000000,8600
20160118,150000,41.6000000,42.0000000,41.5500000,42.0000000,3340
20160118,160000,41.9500000,41.9500000,41.0000000,41.4000000,15860
20160118,170000,41.3000000,41.3000000,41.0000000,41.1000000,5540
20160118,180000,41.3000000,41.3500000,41.1000000,41.1000000,1960
20160118,190000,41.1000000,41.1000000,41.0000000,41.1000000,1120
20160119,110000,41.6000000,42.1500000,41.5000000,42.1500000,3230
20160119,120000,42.0500000,42.0500000,41.8500000,41.9000000,7680
20160119,130000,41.8500000,41.9000000,41.3500000,41.9000000,4950
20160119,140000,41.8500000,41.9500000,41.8000000,41.9500000,10550
20160119,150000,41.9500000,42.0500000,41.6000000,42.0000000,19560
20160119,160000,41.9500000,41.9500000,41.8500000,41.8500000,4190
20160119,170000,41.9000000,41.9000000,41.8500000,41.8500000,160
20160119,180000,41.8500000,41.8500000,41.3000000,41.7000000,10250
20160119,190000,41.5500000,41.9000000,41.5500000,41.9000000,1390
20160120,110000,41.5000000,41.7500000,41.2000000,41.3000000,3780
20160120,120000,41.5500000,41.6000000,40.7500000,41.2000000,9790
20160120,130000,41.1500000,41.1500000,40.0000000,40.8000000,21240
20160120,140000,40.8500000,41.0500000,40.8000000,41.0500000,3430
20160120,150000,41.0500000,41.0500000,40.9000000,41.0000000,3770
20160120,160000,40.9000000,41.3000000,40.8500000,40.8500000,1800
20160120,170000,41.0000000,41.2000000,41.0000000,41.2000000,1240
20160120,180000,41.3000000,41.3500000,40.9000000,40.9000000,1400
20160120,190000,40.9500000,41.0500000,40.9500000,40.9500000,930
20160121,110000,40.9500000,41.0500000,40.9500000,41.0500000,2890
20160121,120000,41.2500000,41.6000000,41.1000000,41.6000000,10830
20160121,130000,41.5000000,41.6000000,41.5000000,41.6000000,2670
20160121,140000,41.6000000,41.6000000,41.5000000,41.5000000,1010
20160121,150000,41.6000000,41.6000000,41.6000000,41.6000000,110
20160121,160000,41.6000000,41.6000000,41.5000000,41.5000000,1190
20160121,170000,41.5000000,41.5000000,41.4000000,41.4000000,3140
20160121,180000,41.3000000,41.3000000,41.2500000,41.3000000,150
20160121,190000,41.4000000,41.4000000,40.7000000,41.3500000,42500
20160122,110000,41.5500000,42.2000000,41.5500000,42.1000000,11850
20160122,120000,41.8500000,41.9000000,41.0000000,41.0000000,23860
20160122,130000,41.0000000,41.0000000,40.7000000,40.9000000,31010
20160122,140000,40.9000000,41.0000000,40.7000000,40.7500000,18300
20160122,150000,40.8000000,41.0000000,40.7000000,40.8000000,66910
20160122,160000,40.8000000,41.0000000,40.5500000,40.9500000,389150
20160122,170000,40.9000000,40.9000000,40.8000000,40.8000000,27850
20160122,180000,40.8000000,41.0000000,40.7500000,40.8000000,50470
20160122,190000,40.8000000,41.0000000,40.7500000,41.0000000,12110
20160125,110000,41.3000000,41.7500000,41.2000000,41.6000000,17260
20160125,120000,41.6000000,43.5000000,41.3000000,42.3500000,25710
20160125,130000,42.5500000,42.8000000,41.0500000,42.0000000,9230
20160125,140000,41.9500000,42.0000000,41.7500000,41.7500000,2310
20160125,150000,41.7500000,41.8000000,41.5000000,41.5000000,2280
20160125,160000,41.6000000,41.6000000,41.4000000,41.4000000,3180
20160125,170000,41.4000000,41.9000000,40.9500000,41.0000000,38840
20160125,180000,41.0000000,41.2000000,41.0000000,41.0000000,22500
20160125,190000,41.0000000,41.4000000,40.9500000,41.0000000,29280
20160126,110000,40.9500000,41.5000000,40.5000000,41.0000000,8840
20160126,120000,41.0000000,41.0000000,40.8500000,40.9000000,4320
20160126,130000,40.8500000,40.8500000,40.0000000,40.1000000,154530
20160126,140000,40.1000000,40.5000000,39.8500000,40.0000000,42420
20160126,150000,40.0000000,40.0000000,39.9500000,40.0000000,34760
20160126,160000,40.0000000,40.0000000,39.9000000,40.0000000,5780
20160126,170000,39.9500000,40.0000000,39.9000000,40.0000000,4100
20160126,180000,40.0000000,40.1000000,39.9000000,40.0000000,147640
20160126,190000,40.0000000,40.4000000,39.9000000,40.4000000,21920
20160127,110000,40.4500000,40.6500000,39.2000000,40.6500000,5310
20160127,120000,40.5500000,40.5500000,40.4500000,40.5000000,5760
20160127,130000,40.5000000,40.5000000,40.3000000,40.3000000,6760
20160127,140000,40.3000000,40.5500000,40.0500000,40.2000000,24010
20160127,150000,40.4500000,40.6500000,40.4000000,40.5000000,28840
20160127,160000,40.6500000,40.7500000,40.5000000,40.7500000,3580
20160127,170000,40.8000000,40.8000000,40.3500000,40.5000000,16510
20160127,180000,40.5000000,40.8000000,40.3500000,40.5000000,50950
20160127,190000,40.5000000,40.7500000,40.3500000,40.5000000,8840
20160128,110000,40.8500000,42.0000000,40.8000000,41.4000000,30690
20160128,120000,41.3500000,41.4000000,40.6000000,40.8000000,4650
20160128,130000,40.8500000,40.9000000,40.8000000,40.9000000,730
20160128,140000,40.9500000,41.0000000,40.9000000,40.9000000,13720
20160128,150000,40.9000000,40.9500000,40.7500000,40.9500000,4290
20160128,160000,41.0000000,41.4000000,41.0000000,41.4000000,1070
20160128,170000,41.4000000,41.5000000,40.9500000,41.0000000,7110
20160128,180000,41.0000000,41.4000000,40.9500000,41.0000000,7450
20160128,190000,41.0500000,41.1000000,41.0000000,41.1000000,31100
20160129,110000,41.5000000,41.6500000,41.0000000,41.6000000,13120
20160129,120000,41.6000000,41.7000000,41.5000000,41.5500000,11130
20160129,130000,41.5000000,41.7000000,41.5000000,41.6500000,2290
20160129,140000,41.6000000,41.7000000,41.5000000,41.7000000,6560
20160129,150000,41.7000000,41.7000000,41.5000000,41.5000000,12290
20160129,160000,41.3000000,41.3500000,41.0000000,41.3500000,21230
20160129,170000,41.3000000,41.7000000,41.3000000,41.6000000,4930
20160129,180000,41.5500000,41.9000000,41.5000000,41.9000000,14860
20160129,190000,41.9000000,42.5000000,41.9000000,42.5000000,27540
20160201,110000,42.5000000,42.9500000,42.1500000,42.4500000,10790
20160201,120000,42.4000000,42.4000000,41.3500000,42.0000000,21780
20160201,130000,42.0000000,42.4500000,42.0000000,42.4000000,7440
20160201,140000,42.4500000,42.5000000,42.1500000,42.1500000,16200
20160201,150000,42.1000000,42.6000000,41.9000000,42.3000000,21410
20160201,160000,42.3500000,42.5000000,42.3500000,42.5000000,180
20160201,170000,42.4500000,42.4500000,42.1500000,42.4500000,14800
20160201,180000,42.3000000,42.5000000,42.0500000,42.4000000,13270
20160201,190000,42.4500000,42.6000000,42.4000000,42.6000000,26460
20160202,110000,42.3500000,42.9000000,42.3500000,42.9000000,2500
20160202,120000,42.8500000,43.1000000,42.8500000,42.9000000,24780
20160202,130000,42.8000000,42.8000000,42.5000000,42.8000000,2230
20160202,140000,42.6500000,42.6500000,42.2500000,42.3000000,15410
20160202,150000,42.3500000,42.6000000,42.3000000,42.6000000,16370
20160202,160000,42.3500000,42.6000000,42.3000000,42.3000000,1600
20160202,170000,42.4500000,42.6000000,42.4500000,42.5000000,5570
20160202,180000,42.5000000,42.5500000,42.4500000,42.5500000,3750
20160202,190000,42.5500000,42.8500000,42.4500000,42.8500000,6620
20160203,110000,42.4000000,42.6500000,42.1000000,42.5000000,7640
20160203,120000,42.6500000,43.0500000,42.5000000,42.9500000,54520
20160203,130000,42.9500000,42.9500000,42.9000000,42.9000000,6430
20160203,140000,42.9500000,42.9500000,42.9000000,42.9500000,1010
20160203,150000,42.9000000,42.9500000,42.7500000,42.7500000,11650
20160203,160000,42.7500000,42.7500000,42.7000000,42.7000000,1200
20160203,170000,42.7000000,42.7000000,42.5000000,42.5500000,10140
20160203,180000,42.5000000,42.6000000,42.5000000,42.5500000,7130
20160203,190000,42.5500000,42.6500000,42.5500000,42.6500000,1780
20160204,110000,42.8500000,42.9000000,42.6500000,42.7000000,2710
20160204,120000,42.7000000,42.8500000,42.5000000,42.5500000,10370
20160204,130000,42.6000000,42.6500000,42.6000000,42.6000000,1710
20160204,140000,42.6500000,42.7500000,42.6000000,42.6500000,4780
20160204,150000,42.6500000,42.6500000,42.6500000,42.6500000,720
20160204,160000,42.7500000,42.8500000,42.6000000,42.6000000,6410
20160204,170000,42.6000000,42.6500000,42.5000000,42.6000000,9770
20160204,180000,42.6500000,42.7000000,42.6000000,42.6000000,2760
20160204,190000,42.6000000,42.7500000,42.6000000,42.6000000,2550
20160205,110000,42.8000000,42.8500000,42.1500000,42.6000000,5490
20160205,120000,42.7500000,43.1000000,42.6000000,43.0500000,18820
20160205,130000,43.1000000,43.1000000,42.8500000,43.0500000,8360
20160205,140000,42.9000000,42.9000000,42.8000000,42.8000000,2490
20160205,150000,42.8500000,42.9500000,42.8500000,42.9000000,2680
20160205,160000,42.9000000,43.0000000,42.9000000,42.9500000,2590
20160205,170000,42.9500000,43.0500000,42.9500000,42.9500000,1150
20160205,180000,43.0500000,43.0500000,42.7500000,42.8000000,4700
20160205,190000,42.8500000,42.8500000,42.6000000,42.7000000,5500
20160208,110000,43.0500000,43.1000000,42.7500000,42.9000000,3290
20160208,120000,42.9000000,42.9500000,42.4000000,42.6000000,18520
20160208,130000,42.7000000,42.7500000,42.5500000,42.6000000,15070
