<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160104,110000,3.7800000,3.7850000,3.7800000,3.7850000,324000
20160104,170000,3.8050000,3.8450000,3.8050000,3.8450000,1149500
20160104,180000,3.8450000,3.8450000,3.8450000,3.8450000,193100
20160104,190000,3.8500000,3.9500000,3.8500000,3.9300000,4249600
20160105,110000,3.8650000,3.8650000,3.8650000,3.8650000,1000
20160105,120000,3.8900000,3.8950000,3.8900000,3.8950000,83500
20160105,130000,3.8750000,3.8800000,3.8700000,3.8800000,5100
20160105,190000,3.8750000,3.8750000,3.8650000,3.8650000,25500
20160106,110000,3.8850000,3.8850000,3.8850000,3.8850000,500000
20160106,140000,3.8800000,3.8850000,3.8800000,3.8850000,300000
20160106,150000,3.8850000,3.8850000,3.8850000,3.8850000,300000
20160106,160000,3.8800000,3.8800000,3.8700000,3.8700000,82400
20160106,170000,3.8700000,3.8700000,3.8700000,3.8700000,1600
20160106,180000,3.8800000,3.8850000,3.8800000,3.8850000,300000
20160111,110000,3.7850000,3.9000000,3.7850000,3.9000000,1690800
20160111,120000,3.8800000,3.8800000,3.8800000,3.8800000,6100
20160111,130000,3.8800000,3.8800000,3.8800000,3.8800000,91900
20160111,150000,3.8700000,3.8700000,3.8650000,3.8650000,60600
20160111,160000,3.8650000,3.8650000,3.8650000,3.8650000,20000
20160111,170000,3.8650000,3.8650000,3.8650000,3.8650000,6000
20160111,180000,3.8650000,3.8650000,3.8650000,3.8650000,300
20160111,190000,3.8700000,3.8750000,3.8700000,3.8750000,3000
20160112,120000,3.8500000,3.8600000,3.8500000,3.8600000,76700
20160112,130000,3.8500000,3.8600000,3.8500000,3.8600000,1100
20160112,140000,3.8500000,3.8600000,3.8500000,3.8600000,520000
20160112,150000,3.8500000,3.8550000,3.8500000,3.8500000,57200
20160112,160000,3.8500000,3.8600000,3.8500000,3.8500000,279600
20160112,170000,3.8350000,3.8350000,3.8300000,3.8300000,40700
20160112,190000,3.8300000,3.8300000,3.8200000,3.8200000,32900
20160113,110000,3.8200000,3.8200000,3.8100000,3.8100000,3300
20160113,120000,3.8050000,3.8050000,3.7950000,3.7950000,33900
20160113,140000,3.7950000,3.7950000,3.7800000,3.7800000,500
20160113,160000,3.7750000,3.7750000,3.7500000,3.7500000,102600
20160113,170000,3.7750000,3.7750000,3.7500000,3.7750000,4810200
20160113,180000,3.7500000,3.7700000,3.7500000,3.7700000,1500000
20160113,190000,3.7750000,3.7750000,3.7700000,3.7700000,2400
20160114,110000,3.7650000,3.7650000,3.7650000,3.7650000,100
20160114,140000,3.7650000,3.7650000,3.7600000,3.7600000,30000
20160114,160000,3.7650000,3.7650000,3.7650000,3.7650000,41000
