<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160104,110000,91.3200000,91.7300000,90.1200000,90.5500000,1006540
20160104,120000,90.5500000,91.6300000,90.2100000,90.8900000,413300
20160104,130000,90.9500000,91.3200000,90.8000000,90.9600000,245990
20160104,140000,91.0000000,91.1100000,90.8500000,90.9400000,71160
20160104,150000,90.9400000,91.6800000,90.8700000,91.3300000,711640
20160104,160000,91.3500000,91.5400000,91.3200000,91.3900000,120550
20160104,170000,91.3800000,91.5900000,91.3500000,91.4000000,215910
20160104,180000,91.4000000,91.5500000,91.3100000,91.4700000,192340
20160104,190000,91.5200000,91.8500000,91.4500000,91.8500000,252110
20160105,110000,91.8300000,93.7900000,91.8100000,92.6400000,647470
20160105,120000,92.6400000,93.2300000,92.6400000,93.2200000,276670
20160105,130000,93.1700000,93.7900000,93.1500000,93.7000000,568960
20160105,140000,93.7000000,94.1900000,93.4600000,94.0000000,600180
20160105,150000,94.0000000,94.4700000,93.9500000,94.0800000,433750
20160105,160000,94.0800000,94.1000000,93.7700000,93.9900000,169940
20160105,170000,93.9900000,94.4000000,93.8900000,94.0000000,537790
20160105,180000,94.0000000,94.3000000,93.8800000,94.1000000,1065500
20160105,190000,94.1600000,94.3800000,94.1000000,94.3000000,622770
20160106,110000,94.3400000,94.5000000,93.9200000,94.2000000,382120
20160106,120000,94.1900000,94.3400000,93.8800000,94.2400000,197930
20160106,130000,94.2500000,94.7000000,94.2500000,94.5200000,221590
20160106,140000,94.5700000,94.6000000,94.3600000,94.4800000,255490
20160106,150000,94.4700000,94.6100000,94.3500000,94.6100000,240980
20160106,160000,94.6000000,94.8700000,94.5100000,94.6600000,367390
20160106,170000,94.6200000,94.7700000,94.5900000,94.6000000,341920
20160106,180000,94.6000000,94.6200000,94.2900000,94.3700000,246710
20160106,190000,94.3500000,94.4900000,94.1800000,94.4400000,208870
20160111,110000,92.3100000,94.2800000,91.0000000,93.2500000,1867620
20160111,120000,93.2500000,95.8400000,93.0200000,95.7900000,1054520
20160111,130000,95.8000000,95.8000000,95.1900000,95.2900000,588100
20160111,140000,95.2500000,95.2600000,93.6300000,94.4600000,541260
20160111,150000,94.4600000,94.5700000,94.0600000,94.2200000,227080
20160111,160000,94.2200000,94.2700000,93.8300000,94.2300000,582480
20160111,170000,94.2300000,94.7300000,94.1900000,94.4200000,631520
20160111,180000,94.4400000,94.7500000,94.4200000,94.4900000,135850
20160111,190000,94.4700000,94.6300000,94.1500000,94.5000000,589250
20160112,110000,94.4000000,94.4000000,93.1300000,93.3800000,1459690
20160112,120000,93.3100000,94.2300000,93.1600000,94.2200000,265420
20160112,130000,94.1800000,97.0000000,94.1000000,95.7800000,1066170
