<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160104,110000,1305.0000000,1315.0000000,1305.0000000,1315.0000000,217
20160104,120000,1315.0000000,1315.0000000,1305.0000000,1315.0000000,33
20160104,140000,1315.0000000,1315.0000000,1310.0000000,1315.0000000,6
20160104,150000,1315.0000000,1345.0000000,1315.0000000,1345.0000000,13
20160104,160000,1340.0000000,1345.0000000,1340.0000000,1345.0000000,18
20160104,170000,1320.0000000,1345.0000000,1320.0000000,1320.0000000,10
20160104,180000,1320.0000000,1340.0000000,1285.0000000,1290.0000000,168
20160104,190000,1285.0000000,1285.0000000,1280.0000000,1280.0000000,17
20160105,110000,1305.0000000,1305.0000000,1305.0000000,1305.0000000,5
20160105,120000,1295.0000000,1295.0000000,1295.0000000,1295.0000000,7
20160105,130000,1295.0000000,1295.0000000,1295.0000000,1295.0000000,89
20160105,140000,1300.0000000,1300.0000000,1300.0000000,1300.0000000,1
20160105,150000,1295.0000000,1295.0000000,1295.0000000,1295.0000000,23
20160105,160000,1290.0000000,1290.0000000,1290.0000000,1290.0000000,11
20160105,170000,1295.0000000,1300.0000000,1295.0000000,1300.0000000,83
20160105,180000,1295.0000000,1300.0000000,1295.0000000,1300.0000000,7
20160106,110000,1315.0000000,1315.0000000,1315.0000000,1315.0000000,12
20160106,120000,1315.0000000,1315.0000000,1315.0000000,1315.0000000,1
20160106,140000,1300.0000000,1315.0000000,1300.0000000,1300.0000000,7
20160106,150000,1300.0000000,1300.0000000,1300.0000000,1300.0000000,100
20160106,170000,1300.0000000,1310.0000000,1300.0000000,1305.0000000,49
20160106,180000,1300.0000000,1320.0000000,1295.0000000,1320.0000000,103
20160106,190000,1295.0000000,1295.0000000,1295.0000000,1295.0000000,2
20160111,110000,1245.0000000,1285.0000000,1220.0000000,1285.0000000,299
20160111,120000,1285.0000000,1320.0000000,1285.0000000,1315.0000000,92
20160111,130000,1315.0000000,1315.0000000,1255.0000000,1260.0000000,147
20160111,140000,1255.0000000,1255.0000000,1255.0000000,1255.0000000,13
20160111,150000,1255.0000000,1260.0000000,1250.0000000,1255.0000000,30
20160111,160000,1255.0000000,1260.0000000,1250.0000000,1255.0000000,122
20160111,170000,1255.0000000,1255.0000000,1250.0000000,1250.0000000,14
20160111,180000,1265.0000000,1265.0000000,1265.0000000,1265.0000000,19
20160111,190000,1245.0000000,1250.0000000,1245.0000000,1250.0000000,67
20160112,110000,1250.0000000,1250.0000000,1230.0000000,1230.0000000,24
20160112,120000,1240.0000000,1240.0000000,1240.0000000,1240.0000000,37
20160112,130000,1240.0000000,1245.0000000,1235.0000000,1245.0000000,108
20160112,140000,1250.0000000,1250.0000000,1250.0000000,1250.0000000,45
20160112,150000,1245.0000000,1245.0000000,1235.0000000,1235.0000000,101
20160112,160000,1235.0000000,1240.0000000,1235.0000000,1240.0000000,109
20160112,170000,1235.0000000,1235.0000000,1235.0000000,1235.0000000,1
20160112,180000,1245.0000000,1245.0000000,1225.0000000,1240.0000000,167
20160112,190000,1245.0000000,1245.0000000,1225.0000000,1245.0000000,110
20160113,110000,1245.0000000,1245.0000000,1245.0000000,1245.0000000,505
20160113,120000,1240.0000000,1245.0000000,1230.0000000,1245.0000000,101
20160113,130000,1255.0000000,1255.0000000,1245.0000000,1245.0000000,235
20160113,140000,1245.0000000,1245.0000000,1245.0000000,1245.0000000,10
20160113,150000,1245.0000000,1245.0000000,1240.0000000,1245.0000000,12
20160113,160000,1245.0000000,1245.0000000,1245.0000000,1245.0000000,12
20160113,170000,1245.0000000,1245.0000000,1245.0000000,1245.0000000,53
20160113,180000,1250.0000000,1250.0000000,1250.0000000,1250.0000000,40
20160113,190000,1250.0000000,1260.0000000,1250.0000000,1260.0000000,274
20160114,110000,1260.0000000,1260.0000000,1245.0000000,1255.0000000,26
20160114,130000,1255.0000000,1255.0000000,1255.0000000,1255.0000000,6
20160114,140000,1245.0000000,1245.0000000,1245.0000000,1245.0000000,18
20160114,150000,1245.0000000,1245.0000000,1245.0000000,1245.0000000,4
20160114,160000,1245.0000000,1250.0000000,1245.0000000,1250.0000000,14
20160114,170000,1245.0000000,1245.0000000,1230.0000000,1230.0000000,150
20160114,180000,1245.0000000,1255.0000000,1245.0000000,1255.0000000,181
20160114,190000,1245.0000000,1275.0000000,1245.0000000,1265.0000000,102
20160115,110000,1280.0000000,1305.0000000,1280.0000000,1295.0000000,792
20160115,120000,1290.0000000,1295.0000000,1290.0000000,1290.0000000,467
20160115,130000,1290.0000000,1300.0000000,1290.0000000,1300.0000000,1110
20160115,140000,1300.0000000,1300.0000000,1290.0000000,1290.0000000,28
20160115,150000,1285.0000000,1285.0000000,1255.0000000,1265.0000000,55
20160115,160000,1270.0000000,1270.0000000,1270.0000000,1270.0000000,304
