<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160104,110000,76.4100000,76.5000000,75.9000000,76.0400000,531500
20160104,120000,76.0500000,76.1000000,73.0000000,74.1200000,2885200
20160104,130000,74.1200000,74.1500000,73.3000000,73.6100000,1879500
20160104,140000,73.6000000,74.0600000,73.5700000,73.9300000,350800
20160104,150000,73.8800000,74.0900000,73.7600000,73.9300000,476700
20160104,160000,73.9000000,73.9500000,73.7700000,73.8200000,184600
20160104,170000,73.8100000,74.0500000,73.7800000,73.8400000,171800
20160104,180000,73.8300000,74.0100000,73.8000000,73.9300000,157900
20160104,190000,73.9700000,73.9900000,73.8000000,73.8800000,454700
20160105,110000,73.9100000,74.4600000,73.6200000,74.1200000,1126700
20160105,120000,74.1100000,74.3800000,73.8500000,74.1400000,413700
20160105,130000,74.2700000,74.3000000,73.8500000,73.9800000,270200
20160105,140000,73.9900000,74.0100000,73.3600000,73.4800000,801600
20160105,150000,73.4800000,73.4800000,73.1500000,73.2900000,745600
20160105,160000,73.3000000,73.4700000,73.0600000,73.3100000,435500
20160105,170000,73.3000000,74.3000000,73.3000000,74.1300000,1316700
20160105,180000,74.1300000,74.1700000,73.7300000,74.0400000,400300
20160105,190000,74.0400000,74.3200000,74.0200000,74.2300000,527700
20160106,110000,73.9900000,75.5000000,73.7800000,75.1000000,2011300
20160106,120000,75.1400000,75.4900000,74.3300000,74.5600000,1202700
20160106,130000,74.6000000,74.7100000,74.1200000,74.1900000,498900
20160106,140000,74.2800000,74.5000000,73.2300000,73.6000000,1321300
20160106,150000,73.6100000,73.6100000,72.5600000,72.9600000,3178400
20160106,160000,72.9200000,73.0600000,72.4200000,72.9500000,1129500
20160106,170000,72.9500000,72.9800000,72.5900000,72.7700000,380500
20160106,180000,72.7500000,73.0000000,72.6500000,72.7900000,396000
20160106,190000,72.7900000,72.8800000,72.5900000,72.6200000,676200
20160111,110000,70.5100000,71.0000000,70.1700000,70.4300000,2235900
20160111,120000,70.4700000,71.0100000,69.3500000,70.4500000,5898400
20160111,130000,70.4500000,70.5600000,70.1500000,70.3300000,581700
20160111,140000,70.2700000,70.2700000,69.5600000,69.7700000,1698100
20160111,150000,69.7400000,69.9900000,69.4000000,69.6400000,955400
20160111,160000,69.6000000,69.6300000,69.1800000,69.4100000,1659100
20160111,170000,69.4000000,69.5800000,69.2000000,69.3000000,782000
20160111,180000,69.3500000,69.6500000,69.2800000,69.5000000,1112900
20160111,190000,69.5000000,69.5000000,69.0700000,69.1100000,2077300
20160112,110000,68.0200000,68.7300000,66.8400000,67.4100000,4923900
20160112,120000,67.3400000,68.7900000,67.2100000,68.4400000,2584900
20160112,130000,68.4700000,69.4600000,68.3600000,69.4000000,2101300
20160112,140000,69.4000000,69.9400000,69.0100000,69.9400000,1191500
20160112,150000,69.9500000,70.0800000,69.1600000,69.3300000,964000
20160112,160000,69.2700000,69.5400000,69.1000000,69.4100000,378900
20160112,170000,69.4700000,69.8500000,69.3700000,69.8400000,918100
20160112,180000,69.8300000,69.9500000,69.5800000,69.7000000,654900
20160112,190000,69.7700000,69.8400000,69.2700000,69.3200000,939800
20160113,110000,69.7600000,70.7700000,69.7000000,70.6800000,2305700
20160113,120000,70.6800000,70.9900000,70.4800000,70.6600000,1424400
20160113,130000,70.5900000,70.7100000,70.0100000,70.0400000,789400
20160113,140000,70.1000000,70.6800000,69.9000000,70.5900000,694500
20160113,150000,70.5900000,70.6500000,70.2300000,70.2600000,253000
20160113,160000,70.2600000,70.5700000,70.2600000,70.4300000,218300
20160113,170000,70.4800000,70.7500000,70.4100000,70.7000000,700200
20160113,180000,70.7100000,70.8900000,70.6500000,70.8000000,1671400
20160113,190000,70.8100000,70.8800000,70.1000000,70.6000000,3559700
20160114,110000,69.7200000,70.2600000,69.5600000,70.1500000,1553200
20160114,120000,70.1200000,70.1600000,69.8200000,70.0900000,1228600
20160114,130000,70.0900000,70.3700000,69.7200000,70.2800000,1698800
20160114,140000,70.2100000,70.3000000,69.9100000,70.1700000,515100
20160114,150000,70.1100000,70.1800000,69.7300000,70.0000000,874500
20160114,160000,70.0400000,70.6500000,69.9200000,70.3600000,1167200
20160114,170000,70.3500000,70.5200000,70.0800000,70.2700000,833800
20160114,180000,70.3500000,70.3500000,69.3100000,69.3300000,2440000
20160114,190000,69.3400000,70.6000000,69.3100000,70.5700000,1760500
20160115,110000,70.1800000,70.5000000,69.9000000,70.4700000,656700
20160115,120000,70.4200000,70.8000000,69.4700000,69.5100000,1238000
20160115,130000,69.5100000,69.7700000,69.3600000,69.4800000,572900
20160115,140000,69.4800000,69.5900000,68.1000000,68.1600000,3146200
20160115,150000,68.1400000,68.5000000,67.8000000,68.2100000,1770700
20160115,160000,68.2100000,68.2500000,67.2600000,67.8300000,2264500
20160115,170000,67.7400000,68.1000000,66.7300000,67.0100000,3349800
20160115,180000,67.0100000,67.6200000,66.8600000,66.9500000,3521100
20160115,190000,66.9600000,67.1500000,66.7500000,66.8000000,1262000
20160118,110000,66.2400000,66.5000000,65.5000000,65.8600000,2639700
20160118,120000,65.8600000,67.0900000,65.8600000,66.7300000,2093800
20160118,130000,66.8400000,67.2400000,66.5300000,67.1000000,1528900
20160118,140000,67.1400000,67.1600000,66.4000000,67.1500000,1368400
20160118,150000,67.1500000,67.4200000,67.0600000,67.2200000,1258500
20160118,160000,67.2400000,67.3900000,66.4500000,66.6300000,1232600
20160118,170000,66.6300000,66.7500000,66.2300000,66.5200000,1127800
20160118,180000,66.5200000,66.7000000,66.1000000,66.4500000,901600
20160118,190000,66.4200000,66.5700000,66.3300000,66.3300000,480500
20160119,110000,66.9900000,68.5400000,66.8600000,68.0400000,3042800
20160119,120000,68.1000000,68.2000000,67.5700000,67.8900000,710000
20160119,130000,67.9000000,67.9700000,67.5000000,67.8600000,633400
20160119,140000,67.9000000,68.0500000,67.7000000,67.7200000,1348600
20160119,150000,67.7200000,68.0100000,67.6300000,67.8800000,1213200
20160119,160000,67.8900000,67.8900000,67.1300000,67.2500000,1707300
20160119,170000,67.2500000,67.3600000,66.8000000,67.1300000,985200
20160119,180000,67.1400000,67.1600000,65.3500000,66.1300000,3189800
20160119,190000,66.1000000,66.2300000,65.5500000,66.1000000,1281700
20160120,110000,64.9800000,65.2500000,63.8100000,64.1100000,4283600
20160120,120000,64.0600000,64.5500000,63.5100000,63.9500000,2755900
20160120,130000,63.9700000,64.3600000,63.7100000,64.1800000,1381800
20160120,140000,64.1400000,64.5300000,64.0100000,64.2200000,989500
20160120,150000,64.3000000,64.3000000,63.8100000,64.1500000,1018400
20160120,160000,64.1000000,64.1400000,63.7500000,64.1000000,956600
20160120,170000,64.1200000,64.1600000,63.7500000,63.9800000,1006700
20160120,180000,64.0300000,64.1800000,63.5300000,63.6400000,3923600
20160120,190000,63.6900000,63.9400000,63.5500000,63.5500000,1545700
20160121,110000,63.6700000,64.3700000,63.4500000,63.6900000,1761800
20160121,120000,63.7000000,64.9800000,63.6600000,64.0900000,5099500
20160121,130000,64.1700000,64.9900000,64.0900000,64.9800000,1830000
20160121,140000,64.9800000,65.1000000,64.7000000,64.8600000,2153700
20160121,150000,64.8600000,65.0100000,64.7500000,64.8500000,1496800
20160121,160000,64.9000000,64.9500000,64.8400000,64.9000000,509700
20160121,170000,64.8900000,65.4600000,64.7900000,65.1100000,2484800
20160121,180000,65.1800000,65.6800000,65.1200000,65.3000000,1359300
20160121,190000,65.3100000,65.5000000,65.1900000,65.3900000,1323400
20160122,110000,67.3300000,67.5700000,66.9900000,67.2200000,2349700
20160122,120000,67.2300000,67.3900000,67.0700000,67.3400000,1941300
20160122,130000,67.3500000,67.3900000,66.7000000,66.9800000,1542900
20160122,140000,66.9700000,67.1500000,66.8900000,66.9900000,391200
20160122,150000,66.9800000,68.4000000,66.9500000,68.3200000,4001100
20160122,160000,68.3000000,68.7800000,68.3000000,68.5900000,2990800
20160122,170000,68.5400000,68.9000000,68.4000000,68.8900000,1397400
20160122,180000,68.8600000,69.5000000,68.6200000,69.4900000,1731400
20160122,190000,69.4600000,69.5000000,68.7100000,68.7500000,2068600
20160125,110000,70.0000000,70.0000000,68.5500000,68.9400000,1829900
20160125,120000,68.9200000,68.9200000,68.1300000,68.3500000,1892700
20160125,130000,68.3500000,68.5200000,68.1700000,68.2400000,1341300
20160125,140000,68.2400000,68.6700000,68.1900000,68.3600000,1524100
20160125,150000,68.3800000,68.4000000,67.7600000,67.8500000,1703200
20160125,160000,67.8500000,68.0100000,67.7400000,67.9100000,1532300
20160125,170000,67.9000000,67.9500000,65.7000000,66.5200000,3982800
20160125,180000,66.5200000,67.2500000,66.3300000,66.9500000,2296000
20160125,190000,66.9600000,67.6300000,66.7500000,66.7500000,1927900
20160126,110000,65.8000000,66.5000000,65.1300000,66.1500000,2308100
20160126,120000,66.2100000,66.4600000,65.9000000,66.2300000,1292400
20160126,130000,66.2600000,66.8600000,66.2000000,66.8400000,3565300
20160126,140000,66.8400000,67.2000000,66.7000000,67.1600000,1862300
20160126,150000,67.1700000,67.2500000,66.9000000,66.9500000,1497600
20160126,160000,67.0000000,67.2700000,66.9700000,67.0000000,1000800
20160126,170000,67.0500000,67.0600000,66.6200000,66.9700000,1172600
20160126,180000,66.9700000,67.3700000,66.8200000,66.9300000,1528400
20160126,190000,66.8900000,67.4000000,66.8900000,67.2100000,1053300
20160127,110000,67.4300000,67.7000000,67.1700000,67.4300000,1729400
20160127,120000,67.4300000,68.0300000,66.9800000,67.9200000,2659900
20160127,130000,67.9200000,69.0400000,67.9000000,68.5400000,3364400
20160127,140000,68.5800000,68.7900000,68.2100000,68.6000000,868900
20160127,150000,68.6000000,68.7400000,68.3700000,68.5700000,454500
20160127,160000,68.5600000,69.2700000,68.5600000,69.0000000,2241300
20160127,170000,68.9600000,69.2400000,68.8300000,69.0600000,1384900
20160127,180000,69.0600000,69.0800000,68.7100000,68.9300000,1558100
20160127,190000,68.9500000,69.0000000,68.4900000,68.8000000,1409600
20160128,110000,68.9900000,70.0000000,68.2900000,69.8900000,4269400
20160128,120000,69.8900000,69.9900000,69.0500000,69.7300000,3095000
20160128,130000,69.7500000,70.2100000,69.2800000,69.9200000,2395000
20160128,140000,69.9200000,70.1200000,69.0100000,69.1600000,2701000
20160128,150000,69.1300000,69.3000000,68.6000000,69.0900000,3600900
20160128,160000,69.0600000,69.0800000,67.3600000,68.4600000,7340700
20160128,170000,68.4600000,68.8000000,68.0600000,68.8000000,1241100
20160128,180000,68.8000000,69.4500000,68.4500000,69.3900000,2631400
20160128,190000,69.3900000,69.3900000,68.3100000,68.8900000,1699400
20160129,110000,69.6100000,70.4500000,69.2200000,69.7900000,4034300
20160129,120000,69.7900000,69.8000000,69.3300000,69.6500000,2965100
20160129,130000,69.6300000,69.6800000,68.6300000,68.9500000,2586400
20160129,140000,68.9400000,69.1300000,68.0800000,68.1500000,2020900
