<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160105,190000,571.0000000,571.0000000,571.0000000,571.0000000,10
20160111,150000,575.0000000,575.0000000,575.0000000,575.0000000,1430
20160111,180000,575.1000000,575.1000000,575.1000000,575.1000000,1430
20160111,190000,575.2000000,575.2000000,575.2000000,575.2000000,1430
20160112,150000,574.0000000,574.0000000,574.0000000,574.0000000,1470
20160112,170000,574.2000000,574.4000000,574.2000000,574.4000000,2940
20160113,120000,574.8000000,574.8000000,574.8000000,574.8000000,1200
20160113,160000,574.9000000,574.9000000,574.9000000,574.9000000,1200
20160113,170000,575.0000000,575.0000000,575.0000000,575.0000000,700
20160113,180000,575.0000000,575.0000000,575.0000000,575.0000000,500
20160114,140000,575.1000000,575.1000000,575.1000000,575.1000000,1350
20160114,160000,575.2000000,575.2000000,575.2000000,575.2000000,1350
20160114,170000,575.3000000,575.3000000,575.3000000,575.3000000,1350
20160115,150000,570.5000000,570.5000000,562.0000000,564.5000000,2160
20160115,170000,568.0000000,575.0000000,568.0000000,575.0000000,510
20160115,190000,574.5000000,574.5000000,574.5000000,574.5000000,510
20160118,120000,574.5000000,574.5000000,573.5000000,573.5000000,1350
20160119,110000,574.5000000,574.5000000,574.5000000,574.5000000,2500
20160119,160000,575.0000000,575.1000000,575.0000000,575.0000000,6350
20160119,190000,574.2000000,575.0000000,574.2000000,574.2000000,3216630
20160120,130000,574.0000000,575.0000000,574.0000000,575.0000000,5630
20160120,140000,574.2000000,574.2000000,574.2000000,574.2000000,2148510
20160121,110000,574.8000000,574.8000000,574.8000000,574.8000000,1370
20160121,120000,574.2000000,574.2000000,574.0000000,574.0000000,120210
20160121,140000,575.0000000,575.0000000,575.0000000,575.0000000,1370
20160121,170000,575.0000000,575.1000000,575.0000000,575.1000000,1390
20160121,190000,574.0000000,574.0000000,574.0000000,574.0000000,10
20160122,150000,575.1000000,575.2000000,575.1000000,575.2000000,3480
20160122,160000,575.3000000,575.3000000,575.3000000,575.3000000,1740
20160125,180000,575.0000000,575.2000000,575.0000000,575.2000000,3400
20160125,190000,575.0000000,575.4000000,575.0000000,575.4000000,1710
20160126,110000,574.5000000,574.5000000,574.5000000,574.5000000,1450
20160126,130000,575.0000000,576.0000000,575.0000000,576.0000000,1520
20160126,160000,577.0000000,582.0000000,577.0000000,582.0000000,1290
20160126,170000,582.0000000,582.0000000,582.0000000,582.0000000,800
20160126,180000,583.0000000,583.0000000,583.0000000,583.0000000,50
20160127,150000,583.5000000,583.5000000,581.0000000,583.5000000,451320
20160127,160000,582.0000000,582.0000000,582.0000000,582.0000000,10
20160127,170000,582.0000000,582.0000000,582.0000000,582.0000000,660
20160128,150000,581.0000000,582.5000000,581.0000000,582.5000000,5000
20160128,170000,584.3000000,584.3000000,584.3000000,584.3000000,69760
20160129,120000,582.0000000,582.0000000,582.0000000,582.0000000,1720
20160129,130000,583.0000000,583.0000000,583.0000000,583.0000000,1510
20160129,140000,584.5000000,584.5000000,584.5000000,584.5000000,430000
20160129,160000,583.0000000,583.5000000,583.0000000,583.5000000,2460
20160129,190000,584.5000000,584.5000000,584.5000000,584.5000000,19910
20160201,110000,582.0000000,582.0000000,582.0000000,582.0000000,2500
20160201,130000,583.0000000,583.0000000,583.0000000,583.0000000,2500
20160201,140000,584.0000000,584.0000000,584.0000000,584.0000000,2500
20160201,180000,589.0000000,589.0000000,589.0000000,589.0000000,10
20160202,150000,584.0000000,586.0000000,584.0000000,586.0000000,10180
20160202,160000,586.0000000,586.0000000,585.0000000,585.0000000,1580
20160203,120000,582.0000000,584.0000000,582.0000000,584.0000000,9750
20160204,120000,581.0000000,582.0000000,581.0000000,582.0000000,6200
20160204,130000,583.0000000,583.0000000,583.0000000,583.0000000,3100
20160205,120000,581.0000000,582.0000000,581.0000000,582.0000000,3800
20160205,130000,583.0000000,584.0000000,583.0000000,584.0000000,3800
20160205,140000,585.0000000,585.0000000,585.0000000,585.0000000,3800
20160205,170000,590.0000000,590.0000000,590.0000000,590.0000000,20
20160208,130000,581.0000000,584.0000000,581.0000000,584.0000000,11250
20160209,130000,581.0000000,581.0000000,581.0000000,581.0000000,370
20160209,140000,580.0000000,582.0000000,580.0000000,582.0000000,2130
20160209,150000,582.0000000,582.0000000,582.0000000,582.0000000,1300
20160209,160000,582.0000000,582.0000000,582.0000000,582.0000000,380
20160209,170000,582.0000000,583.0000000,582.0000000,583.0000000,2810
20160209,180000,583.0000000,584.0000000,583.0000000,584.0000000,4670
20160209,190000,584.0000000,584.0000000,584.0000000,584.0000000,980
20160210,130000,582.0000000,583.0000000,582.0000000,583.0000000,2310
20160210,140000,583.0000000,583.0000000,583.0000000,583.0000000,190
20160210,150000,583.0000000,584.0000000,583.0000000,584.0000000,1860
20160210,160000,584.0000000,584.0000000,584.0000000,584.0000000,1700
20160210,170000,585.0000000,585.0000000,580.0000000,580.0000000,630
20160210,180000,585.0000000,585.0000000,585.0000000,585.0000000,1010
20160211,130000,584.0000000,584.0000000,583.0000000,583.0000000,2440
20160211,140000,583.0000000,585.0000000,583.0000000,584.0000000,3620
20160211,150000,585.0000000,586.0000000,585.0000000,586.0000000,2170
20160211,160000,585.0000000,586.0000000,585.0000000,586.0000000,900
20160212,120000,584.0000000,586.0000000,583.0000000,583.0000000,2230
20160212,130000,585.0000000,586.0000000,583.0000000,586.0000000,3850
20160212,140000,586.0000000,587.0000000,586.0000000,587.0000000,1790
20160212,150000,587.0000000,587.0000000,586.0000000,586.0000000,1280
20160212,170000,589.0000000,589.0000000,589.0000000,589.0000000,10
20160215,120000,583.0000000,586.0000000,583.0000000,586.0000000,2290
20160215,130000,586.0000000,587.0000000,586.0000000,587.0000000,1830
20160215,140000,586.0000000,587.0000000,586.0000000,587.0000000,3290
20160215,150000,587.0000000,588.0000000,587.0000000,588.0000000,1050
20160215,160000,588.0000000,588.0000000,587.0000000,587.0000000,3330
20160215,170000,587.0000000,587.0000000,587.0000000,587.0000000,5530
20160215,180000,586.0000000,587.0000000,584.0000000,584.0000000,29170
20160215,190000,588.0000000,588.0000000,588.0000000,588.0000000,5880
20160216,110000,585.0000000,585.0000000,585.0000000,585.0000000,20000
20160216,150000,588.0000000,588.0000000,584.0000000,584.0000000,84510
20160216,190000,585.0000000,585.0000000,585.0000000,585.0000000,86000
