<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160104,110000,0.0795000,0.0795000,0.0781600,0.0781700,1585820000
20160104,120000,0.0781700,0.0782800,0.0772800,0.0776000,1810030000
20160104,130000,0.0775100,0.0776800,0.0774000,0.0776500,527160000
20160104,140000,0.0776500,0.0778800,0.0775000,0.0778800,715600000
20160104,150000,0.0777600,0.0778700,0.0772500,0.0772500,254670000
20160104,160000,0.0772500,0.0774200,0.0771500,0.0774100,460230000
20160104,170000,0.0774100,0.0777100,0.0773000,0.0773000,389690000
20160104,180000,0.0773000,0.0774000,0.0770700,0.0770700,504050000
20160104,190000,0.0770700,0.0775400,0.0770200,0.0771900,982400000
20160105,110000,0.0768200,0.0779800,0.0766200,0.0768300,716090000
20160105,120000,0.0768300,0.0781900,0.0768300,0.0777600,1433820000
20160105,130000,0.0777500,0.0778000,0.0769000,0.0772100,707260000
20160105,140000,0.0771500,0.0772200,0.0761000,0.0763700,1516290000
20160105,150000,0.0762900,0.0762900,0.0753800,0.0757100,2086150000
20160105,160000,0.0757200,0.0757200,0.0751100,0.0753500,1843610000
20160105,170000,0.0752700,0.0758900,0.0750000,0.0756100,2273560000
20160105,180000,0.0756100,0.0756700,0.0752600,0.0753600,625700000
20160105,190000,0.0753900,0.0759300,0.0752000,0.0753200,1295610000
20160106,110000,0.0754900,0.0755000,0.0750200,0.0750700,1109800000
20160106,120000,0.0750700,0.0750700,0.0745500,0.0748800,1511940000
20160106,130000,0.0748500,0.0748700,0.0745000,0.0745500,1819360000
20160106,140000,0.0745100,0.0746500,0.0740000,0.0741200,1953870000
20160106,150000,0.0741200,0.0744100,0.0740200,0.0743200,629150000
20160106,160000,0.0743700,0.0747700,0.0742000,0.0746500,473190000
20160106,170000,0.0745600,0.0748200,0.0744100,0.0747900,610920000
20160106,180000,0.0747900,0.0752600,0.0746600,0.0752600,868260000
20160106,190000,0.0752100,0.0754900,0.0750000,0.0751700,1899070000
20160111,110000,0.0737600,0.0739000,0.0725000,0.0735100,2602420000
20160111,120000,0.0734900,0.0736900,0.0730300,0.0732000,1805500000
20160111,130000,0.0732000,0.0734700,0.0730000,0.0731800,581220000
20160111,140000,0.0731800,0.0733600,0.0727100,0.0731200,745120000
20160111,150000,0.0731100,0.0733600,0.0720000,0.0723700,1627490000
20160111,160000,0.0723700,0.0726700,0.0721500,0.0725600,541800000
20160111,170000,0.0725600,0.0732300,0.0722900,0.0728000,1140770000
20160111,180000,0.0728200,0.0732600,0.0724800,0.0727800,768700000
20160111,190000,0.0728300,0.0728600,0.0721000,0.0722500,1254210000
20160112,110000,0.0717600,0.0731600,0.0706100,0.0719100,5433540000
20160112,120000,0.0719200,0.0729000,0.0717000,0.0728100,1382080000
20160112,130000,0.0727800,0.0741500,0.0727100,0.0738800,2333310000
20160112,140000,0.0738200,0.0743100,0.0734100,0.0741400,2390620000
20160112,150000,0.0741400,0.0742000,0.0730100,0.0732100,3892130000
20160112,160000,0.0732100,0.0737000,0.0730000,0.0736600,794160000
20160112,170000,0.0736600,0.0743000,0.0735900,0.0742600,1135420000
20160112,180000,0.0742500,0.0744300,0.0737600,0.0740800,1070570000
20160112,190000,0.0740400,0.0743000,0.0735600,0.0736200,1611640000
20160113,110000,0.0742400,0.0746500,0.0737200,0.0738700,959440000
20160113,120000,0.0738700,0.0740600,0.0730900,0.0731100,3090990000
20160113,130000,0.0731200,0.0731900,0.0722400,0.0723400,2444720000
20160113,140000,0.0723000,0.0731300,0.0723000,0.0729900,1428280000
20160113,150000,0.0729900,0.0730700,0.0727600,0.0730000,664170000
20160113,160000,0.0730000,0.0730700,0.0727000,0.0727500,1151750000
20160113,170000,0.0727200,0.0728500,0.0725500,0.0726300,2308650000
20160113,180000,0.0726300,0.0728500,0.0725000,0.0726400,1628610000
20160113,190000,0.0726400,0.0727300,0.0721000,0.0722500,2663650000
20160114,110000,0.0710000,0.0730000,0.0710000,0.0722200,5045010000
20160114,120000,0.0722200,0.0722200,0.0715100,0.0715900,2255710000
20160114,130000,0.0715900,0.0718400,0.0713700,0.0717700,1906500000
20160114,140000,0.0718200,0.0718200,0.0714000,0.0717300,1187450000
20160114,150000,0.0717300,0.0717500,0.0712300,0.0713600,1648920000
20160114,160000,0.0713600,0.0723000,0.0713600,0.0721000,1521350000
20160114,170000,0.0720900,0.0721300,0.0716200,0.0717100,1250460000
20160114,180000,0.0717100,0.0719100,0.0710600,0.0711200,2222740000
20160114,190000,0.0711300,0.0721500,0.0710500,0.0718600,3286440000
20160115,110000,0.0713800,0.0721200,0.0713500,0.0719900,1194970000
20160115,120000,0.0720000,0.0721500,0.0709300,0.0709500,3940610000
20160115,130000,0.0709500,0.0713800,0.0701400,0.0711200,4119520000
20160115,140000,0.0710900,0.0711300,0.0693300,0.0698800,6174900000
20160115,150000,0.0698900,0.0703200,0.0696500,0.0696900,3818010000
20160115,160000,0.0696900,0.0699000,0.0690000,0.0692200,5525210000
20160115,170000,0.0691900,0.0694500,0.0690000,0.0691500,4591090000
20160115,180000,0.0691500,0.0695000,0.0690200,0.0691200,3057490000
20160115,190000,0.0690900,0.0695000,0.0690000,0.0695000,2966720000
20160118,110000,0.0690000,0.0693000,0.0677900,0.0687500,2600390000
20160118,120000,0.0687300,0.0699700,0.0685400,0.0686200,6646980000
20160118,130000,0.0686400,0.0689000,0.0685100,0.0688400,1720890000
20160118,140000,0.0688400,0.0692300,0.0688000,0.0690700,1372100000
20160118,150000,0.0690700,0.0693600,0.0689000,0.0692600,908550000
20160118,160000,0.0692500,0.0693800,0.0689000,0.0691700,1254940000
20160118,170000,0.0692000,0.0692500,0.0689000,0.0689000,715180000
20160118,180000,0.0689000,0.0690600,0.0687100,0.0688800,1120500000
20160118,190000,0.0688900,0.0696000,0.0688100,0.0694000,5953300000
20160119,110000,0.0700000,0.0712000,0.0696400,0.0711000,2305270000
20160119,120000,0.0710500,0.0711600,0.0701500,0.0702500,2592930000
