<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180103,000000,54.8000000,54.8500000,54.5500000,54.8500000,8730
20180104,000000,54.6000000,55.8000000,54.3500000,55.7500000,84580
20180105,000000,55.8500000,55.9500000,54.9500000,55.0000000,173100
20180109,000000,55.0000000,57.8500000,55.0000000,56.8000000,906480
20180110,000000,57.3500000,58.4500000,57.0000000,58.0500000,412430
20180111,000000,58.4500000,58.4500000,57.6500000,58.0000000,218290
20180112,000000,58.3500000,59.3500000,57.7000000,58.3500000,415250
20180115,000000,58.9500000,63.0000000,58.2500000,60.0000000,877030
20180116,000000,60.4500000,60.7500000,58.4500000,59.0500000,231770
20180117,000000,58.4000000,60.3500000,57.2000000,59.7000000,305820
20180118,000000,60.0000000,61.0000000,58.1000000,60.0000000,340750
20180119,000000,59.5000000,60.5000000,59.2000000,59.9500000,439500
20180122,000000,60.5000000,60.9000000,59.5000000,60.7500000,168550
20180123,000000,61.0000000,61.5000000,60.2500000,61.0000000,353190
20180124,000000,61.1500000,61.8000000,60.8000000,60.9500000,519630
20180125,000000,60.9500000,61.0000000,60.5000000,60.6500000,94080
20180126,000000,60.7500000,60.7500000,59.4000000,59.9000000,232220
20180129,000000,60.0000000,60.0000000,58.4500000,58.6500000,106260
20180130,000000,58.6000000,59.7500000,58.5000000,58.9500000,133970
20180131,000000,58.6000000,59.5500000,58.3000000,58.3000000,303940
20180201,000000,58.4500000,59.5500000,57.6000000,59.5500000,826250
20180202,000000,59.9000000,61.0000000,58.0000000,58.6000000,593340
20180205,000000,58.5000000,59.4000000,57.2000000,59.1000000,128080
20180206,000000,57.5500000,58.9000000,56.7500000,57.3500000,283310
20180207,000000,57.7000000,58.9000000,57.1500000,58.0500000,91100
20180208,000000,58.1000000,59.9000000,58.1000000,58.1000000,151920
20180209,000000,57.5000000,58.2000000,57.3500000,57.3500000,215490
20180212,000000,58.5000000,58.7000000,57.5000000,57.8500000,43210
20180213,000000,57.9000000,58.0000000,57.3000000,57.6500000,163470
20180214,000000,57.7000000,58.0500000,57.2500000,57.7500000,154580
20180215,000000,57.8500000,58.2500000,57.3500000,57.6000000,236460
20180216,000000,57.6000000,57.7000000,57.0000000,57.3500000,179490
20180219,000000,57.6500000,57.7000000,56.9000000,57.2500000,95900
20180220,000000,57.1500000,58.7000000,56.6500000,58.3500000,155860
20180221,000000,58.2000000,59.7500000,58.1500000,59.5500000,324080
20180222,000000,58.8000000,60.4000000,58.8000000,60.0000000,238840
20180226,000000,60.4000000,61.5000000,59.8500000,60.0500000,468590
20180227,000000,59.8000000,60.4500000,59.1500000,59.4500000,179940
20180228,000000,59.4500000,59.8500000,57.0000000,57.0000000,363490
20180301,000000,57.4500000,59.0000000,57.3500000,58.8000000,97400
20180302,000000,58.4500000,59.4500000,58.1000000,58.8000000,40740
20180305,000000,58.9500000,59.3000000,58.0000000,58.6000000,62480
20180306,000000,58.6000000,58.7500000,58.3000000,58.6000000,71600
20180307,000000,58.6000000,58.9000000,58.2500000,58.5500000,35020
20180309,000000,58.5000000,58.9500000,58.1500000,58.5500000,22950
20180312,000000,58.8000000,59.2000000,58.1000000,58.6500000,308560
20180313,000000,58.6500000,58.9500000,58.2500000,58.9500000,211010
20180314,000000,58.4500000,58.9500000,58.0000000,58.9500000,156010
20180315,000000,58.7500000,58.8500000,57.3500000,58.7000000,332440
20180316,000000,58.3000000,58.3000000,57.6500000,58.1500000,156260
20180319,000000,58.3000000,58.5000000,58.1000000,58.4000000,29740
20180320,000000,58.3500000,58.5000000,57.6000000,58.0000000,119640
20180321,000000,58.0000000,58.4000000,57.5500000,58.0000000,83520
20180322,000000,57.9500000,59.6000000,57.0000000,57.2500000,379360
20180323,000000,57.0000000,57.8500000,56.1500000,57.0000000,132420
20180326,000000,57.5000000,57.6500000,56.2500000,56.5000000,191930
20180327,000000,56.8500000,56.8500000,55.3000000,55.4000000,299540
20180328,000000,55.5000000,55.5000000,54.2500000,54.6500000,184870
20180329,000000,55.0000000,55.2000000,54.3000000,54.3000000,410460
20180330,000000,54.7000000,54.8000000,54.3500000,54.5000000,76670
20180402,000000,54.5500000,54.9500000,54.2500000,54.4500000,66580
20180403,000000,54.5000000,54.7000000,54.0500000,54.2000000,74340
