<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180103,000000,4.6800000,4.7400000,4.6800000,4.7350000,965400
20180104,000000,4.7210000,4.7500000,4.7210000,4.7410000,864600
20180105,000000,4.7730000,4.7750000,4.6960000,4.7050000,1089100
20180109,000000,4.7360000,4.7360000,4.6510000,4.7170000,4992000
20180110,000000,4.7190000,4.7460000,4.6800000,4.7050000,5091900
20180111,000000,4.6930000,4.7450000,4.6690000,4.7200000,6475800
20180112,000000,4.7040000,4.7490000,4.6640000,4.7320000,6893800
20180115,000000,4.7480000,4.7500000,4.6970000,4.7350000,6613900
20180116,000000,4.7320000,4.7490000,4.6800000,4.6830000,5918100
20180117,000000,4.6830000,4.7020000,4.6450000,4.7020000,5594100
20180118,000000,4.7000000,4.7220000,4.6820000,4.7220000,5745700
20180119,000000,4.7220000,4.7650000,4.7000000,4.7650000,5396100
20180122,000000,4.7690000,4.7760000,4.7130000,4.7550000,6678600
20180123,000000,4.7680000,4.7690000,4.7050000,4.7290000,5571200
20180124,000000,4.7290000,4.7430000,4.7040000,4.7310000,5788200
20180125,000000,4.7400000,4.7810000,4.7160000,4.7810000,7077900
20180126,000000,4.7820000,4.7930000,4.7230000,4.7280000,7411100
20180129,000000,4.7160000,4.7440000,4.6830000,4.7100000,5321900
20180130,000000,4.6910000,4.6980000,4.6550000,4.6880000,9197400
20180131,000000,4.6950000,4.6990000,4.6600000,4.6600000,5182500
20180201,000000,4.6810000,4.7050000,4.6580000,4.7050000,5884400
20180202,000000,4.6990000,4.7080000,4.6870000,4.6870000,5937900
20180205,000000,4.7070000,4.7070000,4.6520000,4.6770000,6057100
20180206,000000,4.6530000,4.6930000,4.6010000,4.6010000,6410000
20180207,000000,4.6110000,4.6750000,4.6110000,4.6680000,5533000
20180208,000000,4.6810000,4.6810000,4.6400000,4.6400000,5325700
20180209,000000,4.6340000,4.6700000,4.5800000,4.5960000,6966800
20180212,000000,4.5630000,4.6310000,4.5620000,4.6290000,5037800
20180213,000000,4.6500000,4.6830000,4.6230000,4.6700000,5515000
20180214,000000,4.6800000,4.6830000,4.6510000,4.6590000,5882200
20180215,000000,4.6420000,4.7010000,4.6370000,4.6630000,5642700
20180216,000000,4.6450000,4.6950000,4.6420000,4.6700000,4797200
20180219,000000,4.6560000,4.6890000,4.6500000,4.6650000,5075400
20180220,000000,4.6530000,4.6830000,4.6500000,4.6800000,5689900
20180221,000000,4.6830000,4.7180000,4.6530000,4.7180000,5788500
20180222,000000,4.6820000,4.7320000,4.6710000,4.7300000,6058200
20180226,000000,4.7490000,4.7800000,4.7490000,4.7770000,5832900
20180227,000000,4.7770000,4.8000000,4.7500000,4.7500000,5293800
20180228,000000,4.7370000,4.7710000,4.7170000,4.7340000,5630300
20180301,000000,4.7670000,4.7690000,4.7200000,4.7400000,5903900
