<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180103,000000,190.6600000,197.4000000,190.4700000,197.3000000,3231300
20180104,000000,197.9900000,204.4000000,197.0100000,203.0300000,4334900
20180105,000000,204.0200000,205.8800000,203.0300000,203.5000000,4082400
20180109,000000,203.9100000,205.9300000,200.3700000,201.3000000,3860100
20180110,000000,201.9900000,202.4200000,196.1600000,197.5200000,4842300
20180111,000000,197.8200000,199.9100000,196.0000000,199.7800000,3314900
20180112,000000,199.7700000,200.9000000,198.2100000,199.4900000,2496000
20180115,000000,200.0000000,203.4400000,200.0000000,201.9000000,3256400
20180116,000000,203.3400000,203.8200000,199.1600000,200.8200000,2275500
20180117,000000,199.5000000,201.8000000,198.1000000,201.3400000,1424300
20180118,000000,201.3400000,205.0000000,201.3400000,204.6300000,3563600
20180119,000000,204.5000000,205.0200000,201.4900000,203.9700000,2454900
20180122,000000,203.9600000,204.5000000,201.5800000,202.5000000,1493800
20180123,000000,203.7200000,204.9800000,202.0100000,202.7100000,1877900
20180124,000000,202.7100000,205.3200000,202.1000000,204.2000000,2590900
20180125,000000,205.4800000,210.5000000,205.0000000,209.0000000,5623600
20180126,000000,208.4000000,211.6500000,207.8600000,208.0000000,3741900
20180129,000000,208.8700000,210.6800000,208.2600000,209.9000000,1790700
20180130,000000,208.9900000,215.3000000,208.2400000,213.3500000,4094700
20180131,000000,213.4000000,218.5000000,212.1200000,217.4900000,5236700
20180201,000000,218.4900000,221.8600000,213.0500000,213.7700000,7707600
20180202,000000,214.3800000,216.8900000,208.6300000,208.8000000,4126600
20180205,000000,207.3600000,210.7100000,205.8600000,209.7500000,2905300
20180206,000000,205.0100000,213.3200000,202.5000000,210.6000000,5079700
20180207,000000,212.2300000,214.5000000,208.8000000,210.2200000,3683000
20180208,000000,208.8000000,210.9500000,206.4000000,206.6000000,2517900
20180209,000000,203.5000000,205.2000000,198.8500000,203.1800000,6398300
