<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180103,000000,0.0473300,0.0495000,0.0472200,0.0495000,17351050000
20180104,000000,0.0495100,0.0502700,0.0491100,0.0500500,18052210000
20180105,000000,0.0502800,0.0502800,0.0495100,0.0502000,9390720000
20180109,000000,0.0503300,0.0518700,0.0503200,0.0508000,32052770000
20180110,000000,0.0510000,0.0513000,0.0504000,0.0505100,23689810000
20180111,000000,0.0505100,0.0507000,0.0497100,0.0505000,22467720000
20180112,000000,0.0505200,0.0510500,0.0500800,0.0509600,16328010000
20180115,000000,0.0511900,0.0517900,0.0508100,0.0508100,12923880000
20180116,000000,0.0509900,0.0510300,0.0502600,0.0509000,15299300000
20180117,000000,0.0506100,0.0517000,0.0502800,0.0513900,23185900000
20180118,000000,0.0512800,0.0517500,0.0504500,0.0506000,22570810000
20180119,000000,0.0508900,0.0509300,0.0491000,0.0496500,19513620000
20180122,000000,0.0497000,0.0502500,0.0496100,0.0501400,11988140000
20180123,000000,0.0501400,0.0502500,0.0491100,0.0497800,14435380000
20180124,000000,0.0496200,0.0496700,0.0488800,0.0490200,14540870000
20180125,000000,0.0491000,0.0504500,0.0490100,0.0499000,29435210000
20180126,000000,0.0498000,0.0498600,0.0487100,0.0493500,16633160000
20180129,000000,0.0491900,0.0495900,0.0487400,0.0490000,11768100000
20180130,000000,0.0489000,0.0495000,0.0486400,0.0488000,10936180000
20180131,000000,0.0488800,0.0494000,0.0486500,0.0494000,9230750000
20180201,000000,0.0493400,0.0500900,0.0490500,0.0493800,23628630000
20180202,000000,0.0493900,0.0496700,0.0487500,0.0492000,17529670000
20180205,000000,0.0488300,0.0492500,0.0485300,0.0490800,13527860000
20180206,000000,0.0483900,0.0488200,0.0468000,0.0470200,47549180000
20180207,000000,0.0475700,0.0479500,0.0472200,0.0476100,14266640000
20180208,000000,0.0476100,0.0488400,0.0472300,0.0475100,31972430000
20180209,000000,0.0470700,0.0474900,0.0466000,0.0470700,28283110000
20180212,000000,0.0475000,0.0477900,0.0469500,0.0471200,17203400000
20180213,000000,0.0471900,0.0477500,0.0470500,0.0476700,12203490000
20180214,000000,0.0477000,0.0482700,0.0472100,0.0477000,17789480000
20180215,000000,0.0480000,0.0480000,0.0473200,0.0473500,20501610000
20180216,000000,0.0473700,0.0478000,0.0473600,0.0477000,10368060000
20180219,000000,0.0476700,0.0477800,0.0472300,0.0474500,6302600000
20180220,000000,0.0474600,0.0479500,0.0473600,0.0477400,7621080000
20180221,000000,0.0477000,0.0491700,0.0476100,0.0489000,35530540000
20180222,000000,0.0486700,0.0529500,0.0485900,0.0517500,71269430000
20180226,000000,0.0529700,0.0558300,0.0525500,0.0546300,103203730000
20180227,000000,0.0547300,0.0548900,0.0533500,0.0538000,43109150000
20180228,000000,0.0536500,0.0540500,0.0526100,0.0527600,55881340000
20180301,000000,0.0526500,0.0531700,0.0523000,0.0525000,25000760000
20180302,000000,0.0527500,0.0539900,0.0521000,0.0524100,24024190000
20180305,000000,0.0527000,0.0534200,0.0520200,0.0524600,19973460000
20180306,000000,0.0526500,0.0536900,0.0525300,0.0530000,21902480000
20180307,000000,0.0528000,0.0547800,0.0526400,0.0547000,37864590000
20180309,000000,0.0545400,0.0565900,0.0543300,0.0562800,34716770000
20180312,000000,0.0570100,0.0576400,0.0557000,0.0557100,32279070000
20180313,000000,0.0557700,0.0562800,0.0549200,0.0558000,28682540000
20180314,000000,0.0555500,0.0559800,0.0535000,0.0535400,30209650000
20180315,000000,0.0536500,0.0542300,0.0531900,0.0538400,33454750000
20180316,000000,0.0537900,0.0541900,0.0533500,0.0534800,37569380000
20180319,000000,0.0539000,0.0541400,0.0534000,0.0534000,12629480000
20180320,000000,0.0535900,0.0539600,0.0526600,0.0539000,19288660000
20180321,000000,0.0540500,0.0545000,0.0531700,0.0540000,30648350000
20180322,000000,0.0542800,0.0542800,0.0533100,0.0540000,27604030000
20180323,000000,0.0534100,0.0535800,0.0529000,0.0532800,17400200000
20180326,000000,0.0532300,0.0532300,0.0509900,0.0509900,33110780000
20180327,000000,0.0513600,0.0521900,0.0510500,0.0518000,21429110000
20180328,000000,0.0513400,0.0515800,0.0505500,0.0510000,16739760000
20180329,000000,0.0511200,0.0521000,0.0511100,0.0511500,20706940000
20180330,000000,0.0515100,0.0516600,0.0512200,0.0516600,4109350000
20180402,000000,0.0516600,0.0519400,0.0511400,0.0511400,12511790000
20180403,000000,0.0511300,0.0531000,0.0507700,0.0523000,42461380000
20180404,000000,0.0525800,0.0526400,0.0521000,0.0523700,19315210000
20180405,000000,0.0526800,0.0539500,0.0525300,0.0539500,67629250000
20180406,000000,0.0535900,0.0555500,0.0535900,0.0554000,83955080000
20180409,000000,0.0552000,0.0552500,0.0485000,0.0504000,117566520000
20180410,000000,0.0500300,0.0517900,0.0492200,0.0506500,79614670000
20180411,000000,0.0509100,0.0515900,0.0494100,0.0504700,43170240000
20180412,000000,0.0509100,0.0514800,0.0505100,0.0509300,20868780000
20180413,000000,0.0509900,0.0515000,0.0501200,0.0508700,27013720000
20180416,000000,0.0500700,0.0521900,0.0500000,0.0517900,28151020000
20180417,000000,0.0533500,0.0535400,0.0519400,0.0521700,34488020000
20180418,000000,0.0524200,0.0534900,0.0522000,0.0530000,24038530000
20180419,000000,0.0530100,0.0535000,0.0519700,0.0525000,21485380000
20180420,000000,0.0523600,0.0532000,0.0521000,0.0528900,15842250000
20180423,000000,0.0527100,0.0530000,0.0525100,0.0530000,20922100000
20180424,000000,0.0530000,0.0539000,0.0528000,0.0530000,26953060000
20180425,000000,0.0527500,0.0529000,0.0522800,0.0528700,14507650000
20180426,000000,0.0530000,0.0533500,0.0520800,0.0524000,19838290000
20180427,000000,0.0525500,0.0528000,0.0521700,0.0525700,13578150000
20180428,000000,0.0525700,0.0527200,0.0523500,0.0527000,2640440000
20180430,000000,0.0527200,0.0539700,0.0526500,0.0539700,13289760000
20180502,000000,0.0535300,0.0541400,0.0530800,0.0534000,15468500000
20180503,000000,0.0532800,0.0536600,0.0526100,0.0526100,11545920000
20180504,000000,0.0529900,0.0531100,0.0526500,0.0527500,8573630000
20180507,000000,0.0530900,0.0533000,0.0527200,0.0527700,13203290000
20180508,000000,0.0525700,0.0529500,0.0508500,0.0527000,20393610000
20180510,000000,0.0531100,0.0531700,0.0522400,0.0522500,15540170000
20180511,000000,0.0524000,0.0527000,0.0520400,0.0523800,20554770000
20180514,000000,0.0524000,0.0527300,0.0521700,0.0525000,19646580000
20180515,000000,0.0522500,0.0523700,0.0511100,0.0515000,39732290000
20180516,000000,0.0512900,0.0516400,0.0511600,0.0513200,21031670000
20180517,000000,0.0515500,0.0519500,0.0512200,0.0512200,34337200000
20180518,000000,0.0514600,0.0515900,0.0510000,0.0512000,21596500000
20180521,000000,0.0513100,0.0518900,0.0512800,0.0515600,17443270000
20180522,000000,0.0516600,0.0516600,0.0513200,0.0513900,11007870000
20180523,000000,0.0513000,0.0516600,0.0511500,0.0511500,14306300000
20180524,000000,0.0513200,0.0515900,0.0511600,0.0512100,15135280000
20180525,000000,0.0512800,0.0514900,0.0507700,0.0510600,16268140000
20180528,000000,0.0511000,0.0515000,0.0510800,0.0514500,8743960000
20180529,000000,0.0513600,0.0515000,0.0509600,0.0512800,18238850000
20180530,000000,0.0513000,0.0516500,0.0511400,0.0513400,31434110000
20180531,000000,0.0514600,0.0516200,0.0498900,0.0498900,127549450000
20180601,000000,0.0474700,0.0482300,0.0474000,0.0474000,77251490000
20180604,000000,0.0476400,0.0478800,0.0468400,0.0470300,30369300000
20180605,000000,0.0471700,0.0476000,0.0470100,0.0474400,19214530000
20180606,000000,0.0474000,0.0476900,0.0470500,0.0472500,16492450000
20180607,000000,0.0474000,0.0474500,0.0468100,0.0468100,18637680000
20180608,000000,0.0467000,0.0467300,0.0453000,0.0453100,41001550000
20180609,000000,0.0453400,0.0456100,0.0453400,0.0455200,3876450000
20180611,000000,0.0455400,0.0456600,0.0445000,0.0451400,19105130000
20180613,000000,0.0448600,0.0452700,0.0446300,0.0447500,25625300000
20180614,000000,0.0447400,0.0452000,0.0445700,0.0446500,17229700000
20180615,000000,0.0448400,0.0450500,0.0445100,0.0445100,23610270000
20180618,000000,0.0445000,0.0463200,0.0444400,0.0461100,38358700000
20180619,000000,0.0460000,0.0460800,0.0451900,0.0451900,27483580000
20180620,000000,0.0455500,0.0472000,0.0455400,0.0472000,32108470000
20180621,000000,0.0472200,0.0477800,0.0467100,0.0469600,28286530000
20180622,000000,0.0472800,0.0475300,0.0464900,0.0466000,19772860000
20180625,000000,0.0468800,0.0472700,0.0465600,0.0467000,17510330000
20180626,000000,0.0469400,0.0471800,0.0467100,0.0469000,13433430000
20180627,000000,0.0470700,0.0475900,0.0467500,0.0473500,21367050000
20180628,000000,0.0474000,0.0486700,0.0473500,0.0478300,29919110000
20180629,000000,0.0480200,0.0488900,0.0480000,0.0480100,20937130000
20180702,000000,0.0479200,0.0484400,0.0474100,0.0483300,24824980000
20180703,000000,0.0483900,0.0487200,0.0481900,0.0483800,13164010000
20180704,000000,0.0484300,0.0488000,0.0482600,0.0485600,11939050000
20180705,000000,0.0485000,0.0487300,0.0483200,0.0486600,12524220000
20180706,000000,0.0485600,0.0492000,0.0484000,0.0485000,14753600000
20180709,000000,0.0488000,0.0493900,0.0487300,0.0493900,14640710000
20180710,000000,0.0494400,0.0494700,0.0488400,0.0490300,12050010000
20180711,000000,0.0487200,0.0488400,0.0483800,0.0486000,13904150000
20180712,000000,0.0485100,0.0488400,0.0478800,0.0483100,12577500000
20180713,000000,0.0484700,0.0497500,0.0482800,0.0497500,26846490000
20180716,000000,0.0497000,0.0499800,0.0493600,0.0494000,20495430000
20180717,000000,0.0493700,0.0494500,0.0486000,0.0487200,12846730000
20180718,000000,0.0487000,0.0490300,0.0484800,0.0485300,8774470000
20180719,000000,0.0486400,0.0487800,0.0474500,0.0478400,19688940000
20180720,000000,0.0478400,0.0486900,0.0473700,0.0482500,15235260000
20180723,000000,0.0481800,0.0489800,0.0481800,0.0482400,7432600000
20180724,000000,0.0484100,0.0484700,0.0479100,0.0482200,10623970000
20180725,000000,0.0477000,0.0479900,0.0471600,0.0479500,15508660000
20180726,000000,0.0480500,0.0482300,0.0475300,0.0475800,8125530000
20180727,000000,0.0477000,0.0479500,0.0474100,0.0478200,6888020000
20180730,000000,0.0477100,0.0480700,0.0475300,0.0479700,7334910000
20180731,000000,0.0476200,0.0482800,0.0476200,0.0482800,9288130000
20180801,000000,0.0481000,0.0488600,0.0480700,0.0482800,13561080000
20180802,000000,0.0482800,0.0484600,0.0474500,0.0475800,9249250000
20180803,000000,0.0476800,0.0477000,0.0469400,0.0473500,10183990000
20180806,000000,0.0474000,0.0476300,0.0467900,0.0468100,10783770000
20180807,000000,0.0469000,0.0473500,0.0465600,0.0468000,8080990000
20180808,000000,0.0466100,0.0468200,0.0453000,0.0456900,30142840000
20180809,000000,0.0453700,0.0453700,0.0422100,0.0451100,62868960000
20180810,000000,0.0450000,0.0451300,0.0428400,0.0433700,29106970000
20180813,000000,0.0427400,0.0437800,0.0425100,0.0429500,21936400000
20180814,000000,0.0432400,0.0437000,0.0426700,0.0436400,15074150000
20180815,000000,0.0435000,0.0438900,0.0431500,0.0434000,12121890000
20180816,000000,0.0436000,0.0438800,0.0434800,0.0438800,7835690000
20180817,000000,0.0437600,0.0438900,0.0433000,0.0437100,8418260000
20180820,000000,0.0438200,0.0442900,0.0438100,0.0441500,6250420000
20180821,000000,0.0442100,0.0444000,0.0437100,0.0441500,7946540000
20180822,000000,0.0441400,0.0442000,0.0427900,0.0430000,23162850000
20180823,000000,0.0429000,0.0430000,0.0410700,0.0413900,33310630000
20180824,000000,0.0413000,0.0415200,0.0401800,0.0410200,32374710000
20180827,000000,0.0412900,0.0421500,0.0412400,0.0421500,13815880000
20180828,000000,0.0422500,0.0422800,0.0415000,0.0415300,10246560000
20180829,000000,0.0415900,0.0419900,0.0410700,0.0419900,12190350000
20180830,000000,0.0420000,0.0421700,0.0411000,0.0412200,12480690000
20180831,000000,0.0411800,0.0415500,0.0408500,0.0414000,14237560000
20180903,000000,0.0412300,0.0415100,0.0410500,0.0412900,6704070000
20180904,000000,0.0413000,0.0417300,0.0408600,0.0409200,10078410000
20180905,000000,0.0409400,0.0411100,0.0400200,0.0400200,13839350000
20180906,000000,0.0400600,0.0403500,0.0394300,0.0395000,19835260000
20180907,000000,0.0396200,0.0399500,0.0390300,0.0393300,16364430000
20180910,000000,0.0393700,0.0394800,0.0384200,0.0386000,22278550000
20180911,000000,0.0386300,0.0391000,0.0383400,0.0390000,20471050000
20180912,000000,0.0391900,0.0398000,0.0390300,0.0396000,17511720000
20180913,000000,0.0396600,0.0416800,0.0396100,0.0404800,37611570000
20180914,000000,0.0405500,0.0409800,0.0396600,0.0400500,25870410000
20180917,000000,0.0401000,0.0404300,0.0398100,0.0400400,13064640000
20180918,000000,0.0399700,0.0412000,0.0399500,0.0411800,17384940000
20180919,000000,0.0413500,0.0418000,0.0410700,0.0412800,19606390000
20180920,000000,0.0413900,0.0420000,0.0409000,0.0411100,35095420000
20180921,000000,0.0412100,0.0422000,0.0408100,0.0422000,17926500000
20180924,000000,0.0419000,0.0424500,0.0415600,0.0419100,22721670000
20180925,000000,0.0420500,0.0422500,0.0415000,0.0416000,10342200000
20180926,000000,0.0417000,0.0417300,0.0410000,0.0411800,17679490000
