Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,72.45,73.55,72.28,73.37,580500,73.14
2013-12-30,72.01,72.44,71.60,72.04,343300,71.82
2013-12-27,73.10,73.22,71.25,72.01,486300,71.79
2013-12-26,73.33,73.50,72.73,72.82,501300,72.59
2013-12-24,72.29,73.33,72.23,73.14,253000,72.91
2013-12-23,73.51,73.92,71.50,72.33,963200,72.10
2013-12-20,71.01,74.30,70.49,73.50,2915400,73.27
2013-12-19,71.12,71.58,70.30,70.57,777700,70.35
2013-12-18,70.97,71.11,69.61,70.71,1817700,70.49
2013-12-17,72.43,72.55,70.43,70.68,656200,70.46
2013-12-16,72.98,73.18,71.59,72.25,601500,72.02
2013-12-13,72.62,72.99,71.78,72.23,696300,72.00
2013-12-12,73.00,73.10,72.10,72.31,907400,72.08
2013-12-11,74.27,74.44,73.34,73.47,874600,73.24
2013-12-10,74.57,75.33,73.82,74.03,1116200,73.80
2013-12-09,73.88,74.97,73.60,74.70,1073700,74.47
2013-12-06,72.83,73.74,71.35,73.51,1141100,73.28
2013-12-05,74.55,75.00,72.97,74.42,802300,74.19
2013-12-04,75.00,75.50,73.23,74.58,678100,74.35
2013-12-03,76.95,76.95,74.88,75.85,742100,75.61
2013-12-02,77.77,78.39,76.80,76.94,491500,76.70
2013-11-29,78.17,78.37,77.46,77.74,285300,77.50
2013-11-27,77.36,78.53,77.36,78.19,519200,77.95
2013-11-26,77.99,78.04,76.05,76.98,532100,76.74
2013-11-25,77.60,78.19,77.32,77.99,487100,77.75
2013-11-22,76.22,77.42,76.04,77.15,404900,76.91
2013-11-21,75.80,76.44,75.32,75.99,768000,75.75
2013-11-20,75.86,76.33,75.16,75.58,497100,75.34
2013-11-19,76.67,77.46,75.26,75.69,651600,75.45
2013-11-18,75.88,76.79,75.71,75.82,563500,75.58
2013-11-15,76.04,76.56,75.14,75.59,454100,75.35
2013-11-14,75.20,76.72,75.20,76.07,705400,75.63
2013-11-13,74.69,74.89,73.79,74.73,467000,74.30
2013-11-12,73.32,75.79,73.32,74.81,768300,74.38
2013-11-11,73.12,73.69,72.73,73.36,380000,72.94
2013-11-08,71.51,73.34,71.48,72.74,627300,72.32
2013-11-07,72.47,72.86,70.51,70.61,617300,70.20
2013-11-06,73.09,73.36,71.53,72.03,648600,71.62
2013-11-05,72.22,72.93,71.47,72.42,492800,72.00
2013-11-04,72.46,73.75,72.46,72.78,587600,72.36
2013-11-01,71.14,72.34,70.56,72.20,513600,71.79
2013-10-31,69.73,71.16,69.24,70.66,585900,70.25
2013-10-30,70.69,70.93,68.61,69.74,503400,69.34
2013-10-29,70.55,71.44,69.34,70.55,727100,70.15
2013-10-28,69.92,70.75,69.37,70.11,522600,69.71
2013-10-25,69.59,70.56,69.10,70.15,530000,69.75
2013-10-24,68.99,70.29,68.30,69.68,732600,69.28
2013-10-23,66.40,67.29,65.52,67.03,761600,66.65
2013-10-22,66.45,67.53,66.05,66.55,378700,66.17
2013-10-21,65.90,66.23,65.37,65.85,411400,65.47
2013-10-18,66.00,66.22,65.32,65.53,419800,65.15
2013-10-17,64.37,65.66,64.15,65.46,635900,65.08
2013-10-16,63.66,64.90,63.55,64.32,874800,63.95
2013-10-15,63.58,63.92,62.61,62.70,674300,62.34
2013-10-14,62.12,63.64,61.91,63.53,659600,63.17
2013-10-11,62.81,62.90,61.67,62.50,844700,62.14
2013-10-10,62.57,62.75,62.08,62.39,589100,62.03
2013-10-09,61.44,62.06,60.26,61.44,773500,61.09
2013-10-08,63.50,63.65,61.08,61.33,1132500,60.98
2013-10-07,64.34,65.31,63.50,64.62,683400,64.25
2013-10-04,64.59,65.27,64.30,64.78,379200,64.41
2013-10-03,64.85,65.06,63.52,64.80,497700,64.43
2013-10-02,65.21,65.41,64.26,64.90,420700,64.53
2013-10-01,62.86,65.71,62.43,65.25,1181700,64.88
2013-09-30,62.58,63.02,62.04,62.62,729400,62.26
2013-09-27,63.51,63.99,62.77,63.59,482800,63.23
2013-09-26,63.51,64.49,63.42,64.21,515700,63.84
2013-09-25,63.90,64.09,62.90,63.43,411700,63.07
2013-09-24,62.86,64.74,62.86,63.74,530800,63.37
2013-09-23,62.34,63.07,61.74,62.80,491000,62.44
