Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,39.41,39.76,39.16,39.71,397300,39.52
2013-12-30,39.99,40.05,39.42,39.45,338800,39.26
2013-12-27,39.09,39.94,39.06,39.91,426800,39.72
2013-12-26,39.00,39.28,38.55,39.03,614500,38.84
2013-12-24,39.07,39.07,38.79,38.79,461100,38.60
2013-12-23,39.88,39.95,38.94,39.00,1235600,38.81
2013-12-20,39.25,39.64,39.16,39.58,794000,39.39
2013-12-19,39.45,39.62,39.06,39.29,714200,39.10
2013-12-18,39.43,39.99,39.02,39.54,652600,39.35
2013-12-17,39.22,39.45,38.83,39.29,595400,39.10
2013-12-16,38.49,39.52,38.49,39.29,883300,39.10
2013-12-13,39.54,39.82,39.44,39.75,488700,39.56
2013-12-12,40.01,40.21,39.25,39.40,817200,39.21
2013-12-11,41.06,41.14,39.88,39.98,572700,39.78
2013-12-10,41.21,41.69,40.87,40.99,428700,40.79
2013-12-09,41.57,41.72,41.16,41.33,351400,41.13
2013-12-06,41.65,42.01,41.25,41.46,294700,41.26
2013-12-05,41.32,41.59,40.98,41.21,433000,41.01
2013-12-04,40.61,41.47,40.59,41.39,477800,41.19
2013-12-03,40.45,40.96,40.28,40.85,634900,40.65
2013-12-02,41.40,41.48,40.70,40.72,487800,40.52
2013-11-29,41.60,41.86,41.11,41.39,163500,41.19
2013-11-27,41.64,41.90,41.06,41.45,256900,41.25
2013-11-26,41.42,41.75,41.26,41.51,492400,41.31
2013-11-25,40.68,41.37,40.60,41.31,281700,41.11
2013-11-22,41.25,41.25,40.35,40.63,726600,40.43
2013-11-21,40.65,41.42,40.61,41.29,256100,41.09
2013-11-20,40.56,40.82,40.31,40.52,302000,40.32
2013-11-19,41.57,41.68,40.37,40.42,460300,40.22
2013-11-18,41.87,42.22,41.55,41.66,555700,41.46
2013-11-15,40.75,41.96,40.54,41.83,634800,41.63
2013-11-14,40.56,40.94,40.25,40.50,440900,40.30
2013-11-13,40.24,40.94,40.24,40.65,331300,40.45
2013-11-12,40.80,41.38,40.69,40.80,437300,40.50
2013-11-11,40.87,41.08,40.53,40.83,487500,40.53
2013-11-08,40.02,40.60,39.81,40.59,633600,40.29
2013-11-07,40.53,40.75,39.87,39.93,569900,39.64
2013-11-06,41.63,41.63,40.18,40.53,759600,40.23
2013-11-05,41.55,41.78,41.24,41.32,508400,41.02
2013-11-04,41.20,41.90,41.06,41.73,503400,41.42
2013-11-01,41.86,41.90,40.79,40.96,786400,40.66
2013-10-31,41.24,42.67,40.15,41.20,2646700,40.90
2013-10-30,46.00,46.00,44.93,45.11,956300,44.78
2013-10-29,45.89,46.18,45.54,45.73,573100,45.40
2013-10-28,45.52,46.06,45.49,45.79,322300,45.45
2013-10-25,45.48,45.66,44.90,45.44,620800,45.11
2013-10-24,45.44,45.80,44.84,45.29,662800,44.96
2013-10-23,45.50,45.68,45.34,45.50,353500,45.17
2013-10-22,46.12,46.47,45.65,45.74,379400,45.41
2013-10-21,46.04,46.29,45.58,45.90,398000,45.56
2013-10-18,45.96,46.07,45.43,45.98,378900,45.64
2013-10-17,44.70,45.84,44.60,45.83,500600,45.49
2013-10-16,44.52,45.09,44.42,45.06,459000,44.73
2013-10-15,44.59,44.97,43.95,44.09,472900,43.77
2013-10-14,44.04,44.75,44.00,44.69,591600,44.36
2013-10-11,43.74,44.50,43.61,44.49,512600,44.16
2013-10-10,43.07,43.96,42.57,43.92,727600,43.60
2013-10-09,42.35,42.92,42.17,42.52,709200,42.21
2013-10-08,43.01,43.52,42.43,42.47,591800,42.16
2013-10-07,43.57,44.15,42.99,42.99,397800,42.68
2013-10-04,43.42,44.29,43.20,44.20,411900,43.88
2013-10-03,43.59,43.73,42.79,43.46,479400,43.14
2013-10-02,43.40,43.89,43.13,43.74,484700,43.42
2013-10-01,43.28,44.14,42.91,43.81,765900,43.49
2013-09-30,42.10,43.27,41.84,43.09,598100,42.77
2013-09-27,42.41,43.01,42.41,42.87,567600,42.56
2013-09-26,42.53,43.73,42.53,42.73,1294200,42.42
2013-09-25,42.07,43.00,41.67,42.29,1007900,41.98
2013-09-24,42.11,42.39,41.83,41.89,537400,41.58
2013-09-23,42.00,42.46,41.63,42.11,517000,41.80
2013-09-20,42.14,42.45,41.90,42.15,686800,41.84
2013-09-19,42.06,42.19,41.45,41.82,942400,41.51
2013-09-18,41.10,42.06,41.06,41.93,678800,41.62
2013-09-17,42.55,42.55,40.70,40.97,1561400,40.67
2013-09-16,43.79,43.92,42.30,42.79,700200,42.48
2013-09-13,43.35,43.35,42.72,43.14,288700,42.82
2013-09-12,44.26,44.26,42.93,43.16,740800,42.84
2013-09-11,44.14,44.68,44.06,44.37,522300,44.05
2013-09-10,43.09,44.35,43.01,44.16,670300,43.84
2013-09-09,42.29,42.90,42.27,42.66,465300,42.35
2013-09-06,42.86,43.11,42.07,42.12,604500,41.81
2013-09-05,42.36,43.13,42.36,42.66,489400,42.35
2013-09-04,41.85,42.75,41.78,42.50,413200,42.19
2013-09-03,42.48,42.77,41.49,41.77,759400,41.46
2013-08-30,42.80,42.80,41.53,41.60,493900,41.30
2013-08-29,42.47,43.24,42.47,42.65,244200,42.34
2013-08-28,42.84,42.90,42.34,42.62,239900,42.31
2013-08-27,43.65,43.95,42.63,42.75,410000,42.44
2013-08-26,44.36,45.18,44.28,44.36,441900,44.04
2013-08-23,44.74,45.01,43.80,44.41,495500,44.08
2013-08-22,43.35,45.46,43.29,44.76,979600,44.43
2013-08-21,43.47,43.72,43.09,43.18,469000,42.86
2013-08-20,42.71,43.84,42.71,43.64,478900,43.32
2013-08-19,42.79,43.19,42.57,42.61,385500,42.30
2013-08-16,42.35,43.38,42.34,42.90,444100,42.59
2013-08-15,42.79,43.01,41.94,42.41,815000,42.10
2013-08-14,43.63,44.17,43.18,43.21,362500,42.89
