Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,77.05,77.50,76.92,77.30,383700,76.89
2013-12-30,77.52,77.52,76.93,77.31,326900,76.90
2013-12-27,77.63,77.93,77.19,77.45,246800,77.04
2013-12-26,77.41,78.16,77.22,77.43,322500,77.02
2013-12-24,77.03,77.39,76.96,77.27,266800,76.86
2013-12-23,76.97,77.39,76.39,77.16,482700,76.75
2013-12-20,76.39,76.46,75.93,76.44,1235300,76.03
2013-12-19,76.33,76.86,75.78,76.02,457400,75.61
2013-12-18,75.38,76.74,75.14,76.71,845500,76.30
2013-12-17,75.60,75.84,75.03,75.28,443800,74.88
2013-12-16,74.44,75.49,74.44,75.46,582900,75.06
2013-12-13,74.92,75.15,74.02,74.22,622100,73.82
2013-12-12,75.20,75.49,73.70,74.61,887100,74.21
2013-12-11,76.15,76.40,75.10,75.24,520200,74.84
2013-12-10,76.64,76.86,76.19,76.26,572100,75.85
2013-12-09,77.00,77.31,76.77,76.86,662800,76.45
2013-12-06,76.63,76.99,76.17,76.73,727500,76.32
2013-12-05,75.86,76.51,75.66,76.01,807000,75.60
2013-12-04,75.29,76.14,74.97,75.83,647300,75.43
2013-12-03,75.72,76.16,75.57,75.83,840200,75.43
2013-12-02,75.68,76.17,74.91,76.01,841600,75.60
2013-11-29,75.13,75.42,74.91,75.19,244600,74.79
2013-11-27,75.10,75.17,74.58,74.99,452800,74.59
2013-11-26,74.80,75.00,74.34,74.97,1230800,74.57
2013-11-25,73.71,74.58,73.45,74.43,663100,74.03
2013-11-22,72.99,73.35,72.66,73.30,417700,72.91
2013-11-21,72.13,73.00,72.13,72.96,425900,72.57
2013-11-20,72.67,72.78,72.20,72.37,381500,71.98
2013-11-19,73.49,73.72,72.52,72.68,670600,72.29
2013-11-18,74.28,74.41,73.55,73.70,714900,73.31
2013-11-15,72.35,74.00,72.11,73.96,841700,73.57
2013-11-14,72.93,73.09,72.23,72.30,669000,71.91
2013-11-13,73.01,73.79,72.66,72.71,1159000,72.32
2013-11-12,73.19,73.80,72.81,73.74,573400,73.20
2013-11-11,73.33,73.44,72.87,73.21,412600,72.67
2013-11-08,72.84,73.50,72.80,73.20,550000,72.66
2013-11-07,73.69,73.85,72.70,72.95,1060100,72.41
2013-11-06,74.48,74.82,73.16,73.20,1465900,72.66
2013-11-05,75.62,75.90,75.02,75.05,1834900,74.50
2013-11-04,78.65,78.65,75.15,75.91,500100,75.35
2013-11-01,75.16,75.79,74.66,75.00,718500,74.45
2013-10-31,75.45,75.57,74.50,75.03,716900,74.48
2013-10-30,74.95,75.55,74.87,75.33,784700,74.78
2013-10-29,74.65,74.99,74.26,74.70,420000,74.15
2013-10-28,74.60,75.30,74.23,74.35,613800,73.80
2013-10-25,75.29,75.51,74.49,74.77,620800,74.22
2013-10-24,74.77,75.26,74.32,75.19,914000,74.64
2013-10-23,74.70,75.07,73.89,74.83,806700,74.28
2013-10-22,75.67,76.07,74.85,74.90,688400,74.35
2013-10-21,75.86,76.11,74.99,75.34,675500,74.79
2013-10-18,74.72,75.86,74.47,75.79,1099700,75.23
2013-10-17,73.11,74.74,72.93,74.66,728600,74.11
2013-10-16,72.99,73.84,72.73,73.79,1193300,73.25
2013-10-15,72.94,74.60,72.01,72.75,2169600,72.21
2013-10-14,74.06,74.50,73.02,73.18,1033200,72.64
2013-10-11,73.43,74.67,72.98,74.00,960200,73.46
2013-10-10,71.48,72.23,70.60,72.14,1453800,71.61
2013-10-09,71.42,71.63,70.63,70.83,824400,70.31
2013-10-08,72.05,72.40,71.32,71.37,681800,70.84
2013-10-07,72.22,72.62,71.78,72.16,431000,71.63
2013-10-04,72.34,72.94,71.77,72.92,570600,72.38
2013-10-03,73.46,73.64,72.25,72.44,583300,71.91
2013-10-02,73.07,73.59,72.65,73.55,499500,73.01
2013-10-01,73.63,74.25,73.16,73.49,915400,72.95
2013-09-30,71.62,73.23,71.62,72.93,685000,72.39
2013-09-27,71.83,72.55,71.26,72.34,465500,71.81
2013-09-26,73.17,73.17,71.59,71.90,791300,71.37
2013-09-25,73.18,73.41,71.66,71.81,1016000,71.28
2013-09-24,74.21,74.55,73.14,73.29,723800,72.75
2013-09-23,74.90,74.91,74.10,74.21,1076600,73.66
2013-09-20,74.00,75.28,74.00,74.92,1344000,74.37
2013-09-19,74.46,74.46,73.92,74.33,1002400,73.78
2013-09-18,74.16,74.37,73.56,74.15,714500,73.60
2013-09-17,74.10,74.24,73.42,73.98,606400,73.44
2013-09-16,76.00,76.00,74.16,74.45,1121800,73.90
2013-09-13,74.54,74.74,73.71,74.04,642200,73.49
2013-09-12,74.32,74.60,74.18,74.32,725600,73.77
2013-09-11,74.50,75.09,74.42,74.50,632300,73.95
2013-09-10,74.04,75.00,74.02,74.99,489400,74.44
2013-09-09,73.48,74.24,73.18,73.66,405800,73.12
2013-09-06,72.87,73.99,72.42,73.18,437900,72.64
2013-09-05,72.60,73.01,72.34,72.81,460400,72.27
2013-09-04,71.67,72.54,71.55,72.45,578200,71.92
2013-09-03,72.83,73.62,71.26,71.71,992600,71.18
2013-08-30,73.34,73.70,71.87,72.00,409000,71.47
2013-08-29,72.99,74.08,72.56,73.14,538300,72.60
2013-08-28,73.00,73.39,72.12,72.89,588100,72.35
2013-08-27,73.70,74.01,72.96,73.33,372200,72.79
2013-08-26,74.68,75.17,74.28,74.70,390200,74.15
2013-08-23,74.34,74.95,73.79,74.56,380800,74.01
2013-08-22,73.43,75.00,73.06,74.33,192500,73.78
2013-08-21,73.34,73.81,72.75,73.16,436500,72.62
2013-08-20,72.81,73.94,72.56,73.72,432700,73.18
2013-08-19,73.03,73.63,72.81,72.85,292200,72.31
2013-08-16,72.98,73.68,72.85,73.13,253900,72.59
2013-08-15,74.00,74.46,72.85,73.09,731500,72.55
2013-08-14,75.74,75.74,74.33,74.46,288100,73.91
2013-08-13,76.13,76.41,75.22,75.47,301800,74.91
2013-08-12,75.16,76.34,75.04,76.19,193100,75.63
2013-08-09,75.80,76.23,75.34,75.71,205300,75.15
2013-08-08,75.38,76.14,75.02,75.92,207400,75.36
2013-08-07,75.59,76.03,74.71,75.17,242300,74.62
2013-08-06,76.99,77.31,75.84,75.95,253000,75.39
2013-08-05,77.18,77.62,76.85,77.39,249400,76.82
2013-08-02,77.75,78.16,77.06,77.44,350600,76.87
2013-08-01,75.88,78.39,75.83,77.78,1107000,77.21
2013-07-31,74.80,75.50,74.62,74.93,495700,74.38
2013-07-30,75.13,75.28,74.26,74.60,357200,73.90
2013-07-29,74.44,75.08,74.44,74.69,257300,73.99
2013-07-26,73.98,75.09,73.91,75.01,225100,74.31
2013-07-25,74.03,74.78,73.75,74.50,316200,73.80
2013-07-24,74.54,75.09,73.89,74.04,344600,73.35
2013-07-23,75.24,75.24,74.51,74.60,432000,73.90
2013-07-22,75.03,75.67,74.84,74.88,390800,74.18
2013-07-19,75.44,75.97,75.15,75.46,234500,74.75
2013-07-18,74.77,75.99,74.77,75.61,415100,74.90
2013-07-17,75.35,75.89,74.49,74.86,667300,74.16
2013-07-16,76.53,77.56,75.18,75.48,710800,74.77
2013-07-15,73.52,76.60,73.01,76.22,1311000,75.51
2013-07-12,76.40,76.50,75.47,75.73,575900,75.02
2013-07-11,77.29,77.76,76.82,76.90,452400,76.18
2013-07-10,76.04,76.74,75.55,76.56,600600,75.84
2013-07-09,75.44,76.88,75.24,76.29,611600,75.58
2013-07-08,75.23,75.76,74.87,75.14,498700,74.44
2013-07-05,73.55,75.00,73.48,74.77,439800,74.07
2013-07-03,72.53,73.82,72.51,73.30,312300,72.61
2013-07-02,73.23,73.95,73.01,73.23,489700,72.54
2013-07-01,72.71,73.92,72.42,73.49,741500,72.80
2013-06-28,71.48,72.36,71.28,72.24,852500,71.56
2013-06-27,70.88,71.84,70.41,71.36,369900,70.69
2013-06-26,70.02,70.89,69.60,70.39,627300,69.73
2013-06-25,69.30,69.86,69.03,69.23,608900,68.58
2013-06-24,68.69,69.18,67.97,68.61,645600,67.97
2013-06-21,71.01,71.31,69.43,69.68,980400,69.03
2013-06-20,71.86,72.00,70.60,70.80,548900,70.14
2013-06-19,72.87,73.37,72.46,72.52,336200,71.84
2013-06-18,72.31,73.03,72.03,72.70,274500,72.02
2013-06-17,72.35,72.67,71.62,72.25,581800,71.57
2013-06-14,72.40,72.78,71.81,72.01,358700,71.34
2013-06-13,70.85,72.77,70.46,72.61,382300,71.93
2013-06-12,72.74,73.25,70.80,71.01,503100,70.35
2013-06-11,72.35,73.29,71.87,72.25,218700,71.57
2013-06-10,73.42,73.76,72.88,73.06,395200,72.38
2013-06-07,71.41,73.43,71.17,73.36,595400,72.67
2013-06-06,70.51,71.29,69.73,71.24,755200,70.57
2013-06-05,71.38,71.97,69.78,70.40,664500,69.74
2013-06-04,72.95,73.24,71.28,71.75,751400,71.08
2013-06-03,72.98,73.36,71.74,72.83,797600,72.15
2013-05-31,73.93,74.44,73.26,73.66,749900,72.97
2013-05-30,74.53,74.95,74.25,74.29,385400,73.59
2013-05-29,74.85,75.11,73.82,74.25,429400,73.56
2013-05-28,75.30,76.30,74.89,75.38,650300,74.67
2013-05-24,75.47,75.47,74.43,74.78,286000,74.08
2013-05-23,74.74,75.77,74.36,75.66,429400,74.95
2013-05-22,76.14,77.20,74.91,75.30,832200,74.60
2013-05-21,75.36,76.60,75.35,75.91,794200,75.20
2013-05-20,74.96,75.64,74.82,75.37,502100,74.66
2013-05-17,74.58,74.94,73.94,74.88,552500,74.18
