Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,57.46,58.19,57.30,57.45,252100,57.33
2013-12-30,57.51,57.77,57.21,57.55,219800,57.43
2013-12-27,57.12,57.67,56.91,57.51,183700,57.39
2013-12-26,57.03,57.67,56.89,57.10,248300,56.99
2013-12-24,57.03,57.23,56.68,56.95,122300,56.84
2013-12-23,57.03,57.36,56.54,57.24,273300,56.78
2013-12-20,56.06,56.78,55.91,56.73,615800,56.27
2013-12-19,56.15,56.45,55.75,56.17,358400,55.71
2013-12-18,55.49,56.16,55.13,56.12,464400,55.67
2013-12-17,55.03,56.08,54.83,55.35,504500,54.90
2013-12-16,54.94,55.12,54.42,54.95,623500,54.50
2013-12-13,54.97,55.45,54.45,54.89,426800,54.45
2013-12-12,54.57,55.16,54.57,54.77,394300,54.33
2013-12-11,55.65,55.95,54.41,54.46,428800,54.02
2013-12-10,56.00,56.21,55.16,55.32,265000,54.87
2013-12-09,56.45,56.45,55.65,55.98,283900,55.53
2013-12-06,56.43,56.76,56.25,56.35,264800,55.89
2013-12-05,55.42,56.15,55.37,55.98,263400,55.53
2013-12-04,55.14,56.05,55.03,55.63,254500,55.18
2013-12-03,57.11,57.20,55.40,55.49,297500,55.04
2013-12-02,56.31,57.83,56.04,57.29,441700,56.83
2013-11-29,55.85,56.62,55.85,56.13,172100,55.68
2013-11-27,55.89,56.18,55.65,55.87,113300,55.42
2013-11-26,55.65,56.08,55.53,55.86,161400,55.41
2013-11-25,55.70,55.93,55.38,55.60,295900,55.15
2013-11-22,55.86,55.99,55.41,55.56,224600,55.11
2013-11-21,55.76,56.07,55.53,55.85,170700,55.40
2013-11-20,55.82,56.09,55.51,55.74,129300,55.29
2013-11-19,56.17,56.17,55.57,55.87,118000,55.42
2013-11-18,56.47,56.78,56.13,56.36,174400,55.90
2013-11-15,56.57,56.95,56.30,56.56,205300,56.10
2013-11-14,56.24,56.44,55.93,56.32,162900,55.86
2013-11-13,56.00,56.33,55.72,56.18,319100,55.72
2013-11-12,55.76,56.41,55.54,56.23,212800,55.77
2013-11-11,55.64,55.77,55.15,55.67,190600,55.22
2013-11-08,55.27,55.49,55.06,55.46,132700,55.01
2013-11-07,55.11,55.36,54.74,55.09,248800,54.64
2013-11-06,55.34,55.38,55.00,55.10,251100,54.65
2013-11-05,55.36,55.62,55.14,55.20,258100,54.75
2013-11-04,54.81,55.63,54.81,55.56,271800,55.11
2013-11-01,55.61,55.87,54.48,54.72,329400,54.28
2013-10-31,54.47,55.38,53.85,55.25,437600,54.80
2013-10-30,54.19,54.90,54.09,54.42,696700,53.98
2013-10-29,54.08,54.63,53.99,54.23,590700,53.79
2013-10-28,53.90,54.05,53.69,53.98,547700,53.54
